date,time,DOY,LOGGERPOWER_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SHFSENS1_1_1_1,SHFSENS2_2_1_1,SHFSENS3_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,VERSION_1_1_1,
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[OTHER],[OTHER],[OTHER],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[OTHER],
2022/10/05,10:00:00,278.4166,1,14.6533,12.1327,519.874,0,248.398,83.7922,202.222,-11845.6,41487.2,34737.7,1,1,1,0.679256,0.646772,0.594,287.375,289.151,290.2,290.748,2,
2022/10/05,10:30:00,278.4374,1,16.52,12.1537,470.461,0,222.691,80.0257,179.702,-40488.8,18833.8,-8667.96,1,1,1,0.67837,0.646767,0.594,288.03,289.171,290.321,290.85,2,
2022/10/05,11:00:00,278.4582,1,17.7633,12.1451,459.762,0,219.817,77.7627,175.317,-19621,49487.8,24178.1,1,1,1,0.678108,0.646939,0.594,288.422,289.304,290.35,290.934,2,
2022/10/05,11:30:00,278.479,1,18.64,12.2341,529.098,0,254.56,76.6574,204.138,-24088.8,39601.5,5972.8,1,1,1,0.677595,0.646706,0.594314,288.769,289.348,290.35,291.05,2,
2022/10/05,12:00:00,278.4999,1,19.54,12.3425,608.103,0,291.987,76.4531,235.851,-35388.1,20194.4,3992.32,1,1,1,0.677717,0.646778,0.595,289.064,289.35,290.35,291.053,2,
2022/10/05,12:30:00,278.5207,1,20.42,12.4087,643.015,0,308.955,73.9629,249.341,-33574.6,46248.8,21552.2,1,1,1,0.677428,0.646822,0.594933,289.572,289.35,290.35,291.139,2,
2022/10/05,13:00:00,278.5415,1,21.08,12.4454,656.336,0,316.432,72.0402,253.003,-34845.6,16623.3,-1927,1,1,1,0.677333,0.646817,0.594367,289.928,289.35,290.351,291.15,2,
2022/10/05,13:30:00,278.5624,1,21.71,12.4817,630.812,0,302.774,71.0093,240.37,-47172.1,7034.76,-22626.2,1,1,1,0.677044,0.6465,0.593608,290.355,289.35,290.405,291.223,2,
2022/10/05,14:00:00,278.5832,1,22.12,12.432,553.086,0,266.468,70.7369,212.105,-23988.5,38296.5,12042.5,1,1,1,0.677,0.646633,0.593889,290.57,289.351,290.449,291.35,2,
2022/10/05,14:30:00,278.604,1,22.1933,12.3401,388.419,0,186.752,72.4056,145.905,-23918,37970.5,10572.9,1,1,1,0.677,0.646606,0.593308,290.7,289.361,290.45,291.35,2,
2022/10/05,15:00:00,278.6249,1,22.34,12.4823,670.746,0,324.829,70.4672,245.213,-51497.6,14694.3,-12693,1,1,1,0.677,0.646161,0.592333,291.305,289.434,290.45,291.407,2,
2022/10/05,15:30:00,278.6457,1,23.25,12.3303,328.166,0,155.842,70.3546,111.595,-11464.2,33908.3,15823.6,1,1,1,0.677,0.64615,0.592006,291.441,289.45,290.45,291.55,2,
2022/10/05,16:00:00,278.6665,1,22.82,12.2746,341.038,0,157.673,71.3447,102.574,-29561,16436.8,9143.46,1,1,1,0.677,0.646056,0.592006,291.56,289.45,290.45,291.55,2,
2022/10/05,16:30:00,278.6873,1,22.69,12.1697,178.819,0,80.8459,71.5288,46.8987,-23120.8,45459.9,16551.1,1,1,1,0.677,0.646006,0.592,291.539,289.45,290.512,291.55,2,
2022/10/05,17:00:00,278.7082,1,21.9733,12.044,89.4227,0,42.1827,77.6083,24.0284,-27240.7,29041.2,8483.85,1,1,1,0.677,0.646,0.592,290.919,289.45,290.634,291.586,2,
2022/10/05,17:30:00,278.729,1,21.22,11.9492,65.7196,0,27.4916,82.8639,-23.4076,-34098.8,27825,17336.3,1,1,1,0.677011,0.646,0.592,290.457,289.533,290.65,291.74,2,
2022/10/05,18:00:00,278.7498,1,19.84,11.8242,13.7989,0,4.80458,96.5634,-44.9328,-17581.8,30424.9,39234.8,1,1,1,0.677028,0.646,0.592,289.191,289.649,290.65,291.747,2,
2022/10/05,18:30:00,278.7707,1,18.0833,11.6916,0.250383,0,0.162845,99.9528,-46.7412,-7623.4,29630.3,34406.3,1,1,1,0.677072,0.646,0.592,288.116,289.65,290.65,291.75,2,
2022/10/05,19:00:00,278.7915,1,16.5967,11.6135,3.18E-02,0,2.25E-02,99.9505,-42.8584,-18405.3,29303.6,23435.6,1,1,1,0.677044,0.64605,0.592,287.399,289.65,290.65,291.75,2,
2022/10/05,19:30:00,278.8123,1,15.66,11.525,1.72E-02,0,-1.99E-02,99.9455,-4.01855,-23698.5,54698.6,32053.3,1,1,1,0.677166,0.646,0.592,287.211,289.65,290.65,291.748,2,
2022/10/05,20:00:00,278.8331,1,15.6,11.4487,2.25E-02,0,-1.92E-02,99.9551,-3.99741,-973.845,35374.2,38392.2,1,1,1,0.677078,0.646,0.592,287.359,289.65,290.65,291.684,2,
2022/10/05,20:30:00,278.854,1,15.8,11.3759,1.19E-02,0,-2.65E-03,99.9537,-16.097,-2248.3,43971.6,29729,1,1,1,0.677105,0.646,0.592,287.508,289.742,290.65,291.551,2,
2022/10/05,21:00:00,278.8748,1,15.72,11.3053,2.25E-02,0,-9.93E-03,99.9516,-35.1184,-11690.7,42579.4,29089.1,1,1,1,0.677303,0.646,0.592,287.299,289.848,290.65,291.55,2,
2022/10/05,21:30:00,278.8956,1,15.2267,11.2311,7.95E-03,0,3.97E-03,99.9506,-39.9652,-16319.7,43219.2,41209.2,1,1,1,0.677947,0.646011,0.592,286.912,289.85,290.65,291.55,2,
2022/10/05,22:00:00,278.9165,1,14.6,11.1559,-1.06E-02,0,-3.97E-03,99.9477,-43.0364,-40049.4,20093.8,-4675.24,1,1,1,0.678172,0.646,0.592,286.595,289.85,290.65,291.457,2,
2022/10/05,22:30:00,278.9373,1,14.03,11.0855,9.27E-03,0,-6.62E-04,99.9494,-42.5124,9376.94,50833.6,42024.3,1,1,1,0.678097,0.646256,0.592072,286.283,289.85,290.65,291.35,2,
2022/10/05,23:00:00,278.9581,1,13.6367,11.0208,2.52E-02,0,-5.30E-03,99.9509,-40.7735,-10157.8,47846.4,36902,1,1,1,0.677614,0.647956,0.594344,286.102,289.85,290.65,291.35,2,
2022/10/05,23:30:00,278.979,1,13.33,10.9721,3.97E-03,0,-8.61E-03,99.9516,-46.3368,-9699.97,34069.3,31007.5,1,1,1,0.677589,0.648,0.595,286.352,289.85,290.65,291.35,2,
2022/10/06,00:00:00,279,1,13.29,10.9387,3.05E-02,0,-6.62E-03,99.9477,-42.6087,-5860.19,44862.4,43126.7,1,1,1,0.678467,0.648,0.595,285.975,289.85,290.65,291.344,2,
2022/10/06,00:30:00,279.0208,1,13.08,10.9137,1.85E-02,0,-3.97E-03,99.9463,-42.4763,4468.23,36262.2,49281.9,1,1,1,0.678367,0.648,0.595,285.99,289.85,290.591,291.186,2,
2022/10/06,01:00:00,279.0416,1,13.19,10.8974,1.33E-08,0,-1.32E-03,99.9488,-47.6914,7906.03,57071.1,43232.1,1,1,1,0.678242,0.648,0.595,285.886,289.85,290.532,291.15,2,
2022/10/06,01:30:00,279.0624,1,12.92,10.8833,1.19E-02,0,8.61E-03,99.943,-50.8104,-34729,29727.8,10331.8,1,1,1,0.678208,0.648,0.595,285.446,289.852,290.461,291.15,2,
2022/10/06,02:00:00,279.0833,1,12.54,10.8651,1.32E-03,0,-1.39E-02,99.9409,-47.1356,-41080.8,49877,44491.1,1,1,1,0.678236,0.648,0.595,284.991,289.88,290.487,291.15,2,
2022/10/06,09:30:00,279.3957,1,15.5433,12.754,1033.55,0,506.561,71.143,320.771,-40051.9,41396.3,27074.2,1,1,1,0.678689,0.648006,0.594356,291.872,289.15,290.103,290.45,2,0
2022/10/06,10:00:00,279.4166,1,18.43,12.9584,1180.39,0,574.194,59.7268,415.346,-37870.6,40316.9,18016.1,1,1,1,0.679133,0.64788,0.594181,292.923,289.15,290.15,290.511,2,0
2022/10/06,10:30:00,279.4374,1,21.3633,13.0065,1299.08,0,628.643,53.8999,467.642,-10558.3,50978.9,32425.6,1,1,1,0.679717,0.647905,0.594217,294.017,289.15,290.15,290.52,2,0
2022/10/06,11:00:00,279.4582,1,23.8767,12.9947,1393.6,0,671.571,46.9888,508.337,-42324.3,30526.3,2443.02,1,1,1,0.6799,0.64795,0.594303,294.94,289.126,290.15,290.451,2,0
2022/10/06,11:30:00,279.479,1,26.0167,12.9769,1428.83,0,698.427,43.7652,533.209,-19836.6,20267.3,12250.6,1,1,1,0.679978,0.647811,0.594228,295.776,288.956,290.15,290.503,2,55.3667
2022/10/06,12:00:00,279.4999,1,27.93,12.9547,1450.29,0,710.094,40.3962,542.032,-31886.8,16713.9,-4365.47,1,1,1,0.679989,0.647433,0.594133,296.47,288.95,290.15,290.619,2,
2022/10/06,12:30:00,279.5207,1,29.5933,12.9112,1445.87,0,709.982,39.1346,538.615,-56233.8,20107.1,-7813.49,1,1,1,0.679978,0.647205,0.594022,297.231,289.018,290.164,290.65,2,
2022/10/06,13:00:00,279.5415,1,30.9667,12.8729,1411.69,0,694.729,36.3907,522.743,-42233.6,-4302.9,-26195.6,1,1,1,0.679158,0.646872,0.594,297.556,289.15,290.314,290.65,2,
2022/10/06,13:30:00,279.5624,1,31.9467,12.8504,1345.4,0,662.034,35.317,488.593,-27188.9,20020.2,-2359.38,1,1,1,0.678789,0.646372,0.594,297.842,289.15,290.35,290.725,2,
2022/10/06,14:00:00,279.5832,1,32.5,12.8185,1253.69,0,618.171,34.0824,445.794,-43346.9,-6369.85,-25719.4,1,1,1,0.678253,0.646256,0.594,298.214,289.15,290.35,290.849,2,
2022/10/06,14:30:00,279.604,1,32.9,12.7798,1140.22,0,562.984,33.1502,394.019,-48545.4,30893.3,19522,1,1,1,0.676797,0.646378,0.594,298.299,289.15,290.35,290.925,2,
2022/10/06,15:00:00,279.6249,1,33.35,12.7094,977.46,0,485.994,34.2645,323.819,-56721.1,12247.4,-21308.7,1,1,1,0.676558,0.6466,0.594486,298.495,289.152,290.407,291.05,2,
