file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,RSSI_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,air_t_mean,air_p_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,ch4_tc_1_mean,ch4_tc_2_mean,ch4_tc_3_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-06-06T163000_AIU-1200.ghg,2022/06/06,17:00:00,157.708,1,18000,18000,-0.125987,0,2.00E-02,25.6648,0,9.74802,336.549,0,56.2848,-7.0053,0,1.69407,7.66831,0,1.28246,0.441842,0,6.01E-02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.06E-10,3.82E-12,5.26E-13,-9999,16.4737,405.221,411.221,0,1,593.242,14.5926,14.8087,0,1,8.16E-02,2.03221,2.0623,-0.1,0,-9999,-9999,-9999,-9999,9,307.828,300.41,101537,1.17102,1013.71,2.46E-02,0.496906,1.07E-02,1482.08,3609.62,9.13E-03,41.0592,2127.54,286.001,-1.02032,1.84795,3.32E-02,2.11118,3.18E-14,6.44E-15,2.11118,5.89153,160.774,118.905,0.902182,-9999,0.328006,0.859392,-121.382,-3.46E-02,7.63E-02,6.59E-02,0,29.3596,-4.45543,10.0782,25.0961,38.2732,53.6787,80.4205,-0.1247,1.01032,45.6608,1.01393,308.156,1.07012,-10.5585,1.07012,7.02137,1.07012,0.37075,1.09657,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,12,6,1,18,20,3,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,3,0,0,0,0,31,0,0,0,0,1,17974,17974,17974,17974,-9999,100,0.962383,0.459097,0.297304,7.39E-02,4.78E-03,1885.93,4.76E-06,-9999,3.85E-02,-1.06E-02,7.02137,3.71E-04,-9999,300.106,101326,405.625,14.6073,12.7309,103.068,2.0193,37.8115,4.09E-05,1.44E-06,7.85E-06,6.87E-07,9999.99,9999.99,9999.99
2022-06-06T170000_AIU-1200.ghg,2022/06/06,17:30:00,157.729,1,18000,18000,-9.77E-02,0,2.35E-02,5.97134,1,5.77911,277.8,0,43.3185,-4.51295,0,1.38257,6.32712,0,0.986612,0.459544,0,6.28E-02,-9999,-9999,-9999,-1.82479,4.38312,7.08E-02,9.98E-02,3.83E-03,-9999,-8.02E-11,-3.02E-12,-4.02E-13,-9999,16.5145,405.707,412.002,0,1,621.95,15.2793,15.5164,0.1,0,8.28E-02,2.05859,2.09053,0,1,-9999,-9999,-9999,-9999,9,307.497,299.987,101523,1.1722,1014.09,2.46E-02,0.409997,1.12E-02,1551.62,3521.11,9.56E-03,44.066,1969.5,286.703,-0.745605,1.2503,4.83E-02,1.45654,-4.94E-14,-4.86E-15,1.45654,5.17976,157.245,120.809,1.90068,-9999,0.288669,0.698889,-355.616,-1.18E-02,2.15E-02,1.74E-02,0,29.543,-4.48326,10.1411,25.2529,38.5123,54.014,80.9228,-9.65E-02,1.01258,22.6998,1.01414,255.874,1.06731,-6.89297,1.06731,5.82773,1.06731,0.39613,1.09492,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800101019,899999999,899999999,89999,89999,89,89,13,8,7,38,39,11,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.821898,0.349672,0.226208,4.29E-02,6.45E-03,1464.88,5.82E-06,-9999,1.91E-02,-6.89E-03,5.82773,3.96E-04,-9999,300.068,101309,406.646,15.3149,13.4633,103.134,2.04499,46.197,4.28E-05,6.53E-09,6.89E-06,1.36E-09,9999.99,9999.99,9999.99
2022-06-06T173000_AIU-1200.ghg,2022/06/06,18:00:00,157.75,1,18000,18000,-4.59E-02,1,2.06E-02,5.51661,1,13.305,126.397,1,25.715,-5.05141,1,2.5961,2.87772,1,0.58546,0.368712,1,5.44E-02,-9999,-9999,-9999,-1.65982,7.53534,0.122598,0.171559,-1.48E-03,-9999,2.09E-11,8.46E-13,1.04E-13,-9999,16.5698,406.55,413.353,0,1,670.784,16.458,16.7334,0.1,0,8.25E-02,2.04839,2.08267,0,1,-9999,-9999,-9999,-9999,9,306.885,299.602,101522,1.17317,1014.74,2.45E-02,0.186476,1.21E-02,1671.3,3442.37,1.03E-02,48.5508,1771.07,287.849,-0.572739,1.09219,7.03E-02,1.23525,4.47E-14,1.26E-15,1.23525,4.3322,162.962,117.672,3.26404,-9999,0.19772,0.616826,-123.712,-3.39E-02,4.36E-02,2.34E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.52E-02,1.01403,13.0683,1.01471,116.072,1.0671,-6.07051,1.0671,2.64265,1.0671,0.323432,1.09514,-9999,-9999,800000009,800000009,800000009,800000009,800101009,800101019,899999999,899999999,89999,89999,89,89,17,3,11,36,42,13,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.714524,0.345089,0.17404,0.172243,1.39E-02,914.403,6.52E-06,-9999,1.10E-02,-6.07E-03,2.64265,3.23E-04,-9999,300.948,101308,409.211,16.5653,14.6849,103.181,2.03396,44.0275,4.88E-05,2.03E-06,1.16E-05,8.18E-07,9999.99,9999.99,9999.99
2022-06-06T180000_AIU-1200.ghg,2022/06/06,18:30:00,157.771,1,18000,18000,-5.79E-02,0,1.04E-02,-26.5215,0,11.6656,98.7264,0,19.5394,1.87763,0,1.93721,2.24597,0,0.444511,0.350799,0,4.89E-02,-9999,-9999,-9999,-3.47796,8.18158,0.120305,0.186127,-3.09E-03,-9999,2.26E-11,9.83E-13,1.11E-13,-9999,16.648,407.374,414.729,0,1,724.707,17.7334,18.0536,0.1,0,8.19E-02,2.02718,2.06377,0,1,-9999,-9999,-9999,-9999,9,305.814,298.799,101522,1.17575,1015.44,2.45E-02,0.145539,1.31E-02,1800.81,3282.79,1.11E-02,54.8562,1481.98,289.011,-0.641541,0.98836,1.91E-02,1.17847,-8.43E-15,1.36E-15,1.17847,5.30557,153.499,122.987,0.930071,-9999,0.221907,0.548943,36.3861,0.115385,-0.268636,-0.100105,0,27.5966,-4.18789,9.47301,23.5891,35.9749,50.4554,75.5913,-5.74E-02,1.00909,-20.3675,1.01463,90.6717,1.09564,2.00814,1.09564,2.06274,1.09564,0.305574,1.1395,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800101019,899999999,899999999,89999,89999,89,89,25,6,7,20,65,14,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.655627,0.283203,0.159056,0.207687,1.02E-02,472.249,5.85E-06,-9999,-1.71E-02,2.01E-03,2.06274,3.06E-04,-9999,298.012,101307,407.128,17.722,15.743,103.225,2.01157,32.4536,3.06E-05,5.76E-06,9.62E-06,2.58E-06,9999.99,9999.99,9999.99
2022-06-06T183000_AIU-1200.ghg,2022/06/06,19:00:00,157.792,1,18000,18000,-4.87E-02,1,8.67E-03,-23.3797,1,8.43019,55.9342,1,12.3138,0.712022,1,3.85644,1.2698,1,0.279544,0.321438,1,4.26E-02,-9999,-9999,-9999,-9.46025,4.81133,0.603109,0.109225,8.61E-04,-9999,-9.54E-11,-4.28E-12,-4.67E-13,-9999,16.9348,411.478,419.223,0.2,0,760.424,18.4766,18.8244,0,1,8.29E-02,2.03305,2.07132,0,1,-9999,-9999,-9999,-9999,9,304.078,296.631,101499,1.18374,1015.81,2.43E-02,8.23E-02,1.37E-02,1875.85,2883.59,1.16E-02,65.0526,1007.74,289.652,-0.688472,1.09735,2.27E-02,1.29564,-2.05E-15,-5.63E-15,1.29564,4.83038,155.707,122.104,1.00573,-9999,0.202753,0.577054,31.4805,0.133365,-0.417986,-9.59E-02,0,25.3749,-3.85074,8.71037,21.6901,33.0787,46.3934,69.5057,-4.82E-02,1.00921,-19.7989,1.01578,51.7446,1.10342,1.17767,1.10342,1.17469,1.10342,0.2798,1.14995,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800101019,899999999,899999999,89999,89999,89,89,7,3,3,13,35,8,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.667906,0.32244,0.163762,0.24529,0.10841,265.478,5.78E-06,-9999,-1.65E-02,1.18E-03,1.17469,2.80E-04,-9999,295.924,101284,411.333,18.4702,16.3901,103.25,2.01662,46.8892,4.76E-05,2.75E-05,4.05E-05,1.21E-05,9999.99,9999.99,9999.99
2022-06-06T190000_AIU-1200.ghg,2022/06/06,19:30:00,157.812,1,18000,18000,-8.20E-02,0,1.40E-02,-67.2476,0,10.6831,81.9543,0,13.0991,12.2629,0,4.41741,1.85867,0,0.297078,0.391614,0,4.97E-02,-9999,-9999,-9999,-4.45022,2.86441,-2.87E-03,6.50E-02,4.24E-03,-9999,-2.62E-11,-1.21E-12,-1.30E-13,-9999,16.9937,411.458,419.392,0.1,0,781.296,18.917,19.2818,0,1,8.44E-02,2.06187,2.10163,0,1,-9999,-9999,-9999,-9999,9,303.188,295.614,101507,1.18772,1016.02,2.42E-02,0.120442,1.41E-02,1920.73,2711.55,1.19E-02,70.8353,790.814,290.024,-0.959277,1.35062,-9.47E-03,1.65665,-1.56E-15,-1.54E-15,1.65665,5.68076,151.893,125.384,-0.327501,-9999,0.262829,0.65269,23.8437,0.17608,-0.82055,-0.212025,0,29.8608,-4.53149,10.2502,25.5246,38.9266,54.5951,81.7934,-8.12E-02,1.00994,-61.4018,1.01877,77.5372,1.12072,13.1178,1.12072,1.75849,1.12072,0.344237,1.17182,-9999,-9999,800000009,800000009,800000009,800000009,800001019,800101019,899999999,899999999,89999,89999,89,89,23,5,3,19,70,10,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,16,18000,18000,18000,18000,-9999,100,0.793972,0.328358,0.18305,0.176571,4.60E-02,191.485,6.56E-06,-9999,-5.09E-02,1.31E-02,1.75849,3.44E-04,-9999,294.783,101293,411.14,18.9023,16.756,103.249,2.04513,45.3788,8.10E-05,4.93E-05,7.96E-05,2.12E-05,9999.99,9999.99,9999.99
2022-06-06T193000_AIU-1200.ghg,2022/06/06,20:00:00,157.833,0,18000,18000,-5.15E-02,0,1.26E-02,-22.2264,0,6.87226,7.31543,1,4.02192,5.91489,1,3.44476,0.16575,1,9.11E-02,0.230741,0,4.45E-02,-9999,-9999,-9999,-4.35348,3.15083,0.806126,7.14E-02,-1.83E-03,-9999,9.08E-11,4.23E-12,4.43E-13,-9999,17.2846,416.903,425.15,0.3,0,804.284,19.3992,19.783,0.5,0,8.42E-02,2.04946,2.09001,0.3,0,-9999,-9999,-9999,-9999,9,302.214,294.623,101555,1.19205,1016.28,2.41E-02,1.07E-02,1.45E-02,1970.62,2552.59,1.22E-02,77.2008,581.97,290.429,-0.458169,0.34719,9.69E-03,0.574937,4.44E-14,5.25E-15,0.574937,3.31922,120.603,142.846,0.966085,-9999,0.207915,0.390405,35.7268,0.117514,-3.03829,-8.82E-02,0,34.2784,-5.20188,11.7667,29.3006,44.6853,62.6718,93.8938,-5.09E-02,1.0121,-21.4654,1.01595,8.52475,1.10079,6.28831,1.10079,0.19315,1.10079,0.204563,1.14922,-9999,-9999,800000009,800000009,800000009,800000009,800000019,800000119,899999999,899999999,89999,89999,89,89,4,3,1,4,0,5,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.427623,0.272227,8.10E-02,0.140147,5.03E-02,67.3928,8.72E-06,-9999,-1.77E-02,6.29E-03,0.19315,2.05E-04,-9999,293.619,101341,416.331,19.3727,17.1523,103.229,2.0322,45.4222,1.05E-04,5.47E-05,1.04E-04,2.24E-05,9999.99,9999.99,9999.99
2022-06-06T200000_AIU-1200.ghg,2022/06/06,20:30:00,157.854,0,18000,18000,1.16E-02,1,2.20E-03,-5.98555,1,4.06298,2.63737,1,2.09869,1.50102,0,1.63524,5.97E-02,1,4.75E-02,3.55E-02,1,2.09E-02,-9999,-9999,-9999,-4.13739,1.27084,0.753856,2.88E-02,-6.54E-03,-9999,4.61E-11,2.14E-12,2.17E-13,-9999,17.5616,421.975,430.408,0,1,815.406,19.5928,19.9843,0,1,8.28E-02,2.00541,2.04549,-0.2,0,-9999,-9999,-9999,-9999,9,301.257,293.686,101618,1.19651,1016.37,2.40E-02,3.87E-03,1.47E-02,1991.51,2409.67,1.23E-02,82.6466,418.16,290.595,-0.230341,-0.110749,-9.16E-04,0.255584,6.70E-15,2.62E-15,0.255584,2.37543,66.1335,205.679,-0.205355,-9999,9.86E-02,8.72E-02,14.1532,0.296639,-2.26951,-4.99E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.14E-02,1.01844,-5.70443,1.02388,2.78244,1.14625,1.54429,1.14625,6.30E-02,1.14625,3.03E-02,1.21573,-9999,-9999,800000009,800000009,800000009,800000009,801100119,801100119,899999999,899999999,89999,89999,89,89,3,17,1,28,1,11,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,3,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,4.03E-02,0.119908,1.43E-02,0.129308,3.27E-02,28.6724,6.87E-06,-9999,-4.69E-03,1.54E-03,6.30E-02,3.03E-05,-9999,292.648,101404,421.343,19.5634,17.3175,103.242,1.9881,48.3633,1.16E-04,5.74E-05,1.14E-04,2.33E-05,9999.99,9999.99,9999.99
2022-06-06T203000_AIU-1200.ghg,2022/06/06,21:00:00,157.875,0,18000,18000,5.48E-03,1,1.11E-03,-0.622537,2,2.03296,-0.283982,2,0.492353,-0.215555,2,0.627166,-6.42E-03,2,1.11E-02,-4.02E-03,2,2.47E-03,-9999,-9999,-9999,-3.95171,4.38E-02,0.459078,9.90E-04,-1.26E-03,-9999,1.38E-11,6.36E-13,6.43E-14,-9999,17.7523,425.053,433.55,0,1,818.566,19.5994,19.9912,0,1,8.27E-02,1.99697,2.03689,0,1,-9999,-9999,-9999,-9999,9,300.237,292.793,101667,1.20074,1016.36,2.39E-02,-4.16E-04,1.48E-02,1993.15,2280.2,1.23E-02,87.4115,287.043,290.609,-0.211695,-0.369706,3.60E-02,0.427539,-1.04E-14,7.77E-16,0.427539,1.09563,42.0445,240.204,4.82354,-9999,6.76E-02,3.91E-02,43.7787,9.59E-02,2.19217,-7.55E-03,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.40E-03,1.01442,-0.628851,1.01645,-0.196245,1.0974,-0.165751,1.0974,-4.44E-03,1.0974,-3.31E-03,1.14419,-9999,-9999,800000009,800000009,800000009,800000009,800000109,800000109,899999999,899999999,89999,89999,89,89,0,1,0,11,4,14,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,3.10E-02,4.24E-02,4.70E-03,0.106455,1.69E-02,4.43991,4.62E-07,-9999,-5.15E-04,-1.66E-04,-4.44E-03,-3.31E-06,-9999,291.974,101453,424.729,19.5845,17.3425,103.278,1.97976,47.713,1.33E-04,5.91E-05,1.32E-04,2.20E-05,9999.99,9999.99,9999.99
