date,time,DOY,LOGGERPOWER_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SHFSENS1_1_1_1,SHFSENS2_2_1_1,SHFSENS3_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,VERSION_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[OTHER],[OTHER],[OTHER],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[OTHER]
2022/08/30,11:00:00,242.454,1,35.3886,13.1719,1617.75,0,783.242,59.0946,622.798,-36088.7,34090,-5270.42,1,1,1,0.635,0.632388,0.587767,304.077,297.514,297.55,297.852,2
2022/08/30,11:30:00,242.4749,1,36.0383,13.1463,1646.46,0,797.366,58.1199,632.045,-32723.8,30313.5,31.2878,1,1,1,0.635,0.632056,0.587469,304.314,297.536,297.55,297.915,2
2022/08/30,12:00:00,242.4957,1,37.0217,13.1047,1544.79,0,745.235,56.8594,593.949,-34967.4,24532.6,11239.5,1,1,1,0.634994,0.631415,0.586543,304.551,297.547,297.555,298.013,2
2022/08/30,12:30:00,242.5165,1,37.8583,13.1126,1622.69,0,785.177,54.812,628.413,-39281.5,22222.7,9515.22,1,1,1,0.634972,0.631143,0.585473,305.016,297.55,297.671,298.074,2
2022/08/30,13:00:00,242.5374,1,38.75,13.1223,1723.6,0,837.345,53.6321,669.418,-43869.8,23811,358.647,1,1,1,0.634978,0.631414,0.58503,305.448,297.55,297.816,298.174,2
2022/08/30,13:30:00,242.5582,1,39.3483,13.1297,1319.98,0,633.262,54.4151,507.607,-44415,19096.8,-12910.1,1,1,1,0.634914,0.631576,0.585006,305.296,297.55,297.85,298.369,2
2022/08/30,14:00:00,242.579,1,39.2817,13.1553,1197.01,0,571.101,53.0559,453.648,-36717.9,2622.09,-19403.8,1,1,1,0.63455,0.631668,0.585036,305.392,297.557,297.85,298.542,2
2022/08/30,14:30:00,242.5999,1,39.4967,13.1654,1381.76,0,665.672,50.4391,524.971,-34833.4,9403.76,-10465.6,1,1,1,0.633539,0.632179,0.58496,305.701,297.698,297.904,298.675,2
2022/08/30,15:00:00,242.6207,1,40.095,13.1601,1298.67,0,627.179,49.5014,487.531,-41379.5,22240.9,300.431,1,1,1,0.632025,0.632608,0.584619,305.871,297.842,298.003,298.897,2
