file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,RSSI_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,air_t_mean,air_p_mean,u_mean,v_mean,w_mean,ts_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,ch4_tc_1_mean,ch4_tc_2_mean,ch4_tc_3_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-08-30T102407_AIU-1200.ghg,8/30/2022,11:00,242.454,1,18000,17924,-8.67E-02,0,1.67E-02,104.398,0,16.1283,449.382,0,50.6233,-16.2513,0,4.89232,10.2926,0,1.15948,0.242513,0,3.70E-02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.01E-10,7.17E-12,5.17E-13,-9999,16.0994,404.171,417.048,0,1,1139.59,28.6091,29.4517,0,1,8.22E-02,2.10968,2.17689,0,1,-9999,-9999,-9999,-9999,9,314.969,305.745,101254,1.14127,1021.79,2.51E-02,0.666963,2.05E-02,2897.56,4903.26,1.80E-02,59.0946,2005.7,296.672,8.70E-02,0.908219,-4.89E-02,0.913681,-1.84E-14,6.29E-15,0.913681,5.11926,199.621,84.5301,-3.06566,-9999,0.275685,1.12223,-17.7278,-0.236825,0.232315,0.324735,0,27.2,-4.1277,9.33688,23.2501,35.4579,49.7303,74.505,-8.52E-02,1.01749,130.667,1.01648,395.055,1.06809,-23.5244,1.06809,9.04837,1.06809,0.159472,1.09681,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800001109,899999999,899999999,89999,89999,89,89,0,7,1,23,9,12,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17924,17924,17924,17924,-9999,100,0.943983,1.04804,0.252435,0.279191,3.38E-02,2034.45,2.18E-06,-9999,0.112051,-2.35E-02,9.04837,1.59E-04,-9999,306.209,101041,4.25E-04,6.95E-03,-5.07E-03,4.73E-04,405.614,30.9859,24.7327,103.809,2.08414,81.968,1.52E-04,2.11E-05,1.41E-04,6.57E-06,9999.99,9999.99,9999.99
2022-08-30T103000_AIU-1200.ghg,8/30/2022,11:30,242.475,1,18000,18000,-0.175246,1,4.03E-02,77.5197,0,12.7034,385.291,0,42.2505,-13.746,0,2.43531,8.82858,0,0.96813,0.197171,0,2.85E-02,-9999,-9999,-9999,1.88274,1.56235,-0.370376,3.58E-02,-2.41E-03,-9999,8.72E-11,6.27E-12,4.44E-13,-9999,15.9665,401.563,414.263,0,1,1147.54,28.8612,29.7189,0,1,8.14E-02,2.09266,2.15884,0,1,-9999,-9999,-9999,-9999,9,315.292,306.19,101218,1.13909,1021.95,2.52E-02,0.572092,2.07E-02,2922.05,5027.63,1.82E-02,58.1199,2105.57,296.812,-0.118142,1.29577,3.45E-02,1.3016,8.00E-14,5.46E-15,1.3016,6.68566,193.289,95.2096,1.51668,-9999,0.392234,2.30329,-68.7458,-6.11E-02,0.201198,0.169777,0,36.2706,-5.50421,12.4505,31.0036,47.2824,66.3143,99.3509,-0.172904,1.01354,100.441,1.0145,340.432,1.06711,-19.4586,1.06711,7.80067,1.06711,0.131055,1.09501,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800010019,899999999,899999999,89999,89999,89,89,3,1,2,33,20,23,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,351,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,1.98881,2.36794,0.249824,0.277016,1.38E-02,2208.32,2.36E-06,-9999,8.63E-02,-1.95E-02,7.80067,1.31E-04,-9999,306.225,101005,4.12E-04,6.97E-03,-5.11E-03,4.60E-04,402.431,30.7231,24.5834,103.777,2.03747,77.4918,1.26E-04,3.24E-05,1.11E-04,1.32E-05,9999.99,9999.99,9999.99
2022-08-30T110000_AIU-1200.ghg,8/30/2022,12:00,242.496,1,18000,18000,-0.162213,0,2.56E-02,83.2667,0,17.7982,422.745,0,48.9183,-14.1637,0,2.61129,9.68736,0,1.12098,0.209415,0,3.96E-02,-9999,-9999,-9999,0.251085,-3.20803,-4.73E-02,-7.35E-02,-4.71E-03,-9999,-6.53E-11,-4.61E-12,-3.28E-13,-9999,15.9425,401.229,413.962,0,1,1126.19,28.3431,29.1699,0,1,8.01E-02,2.05938,2.12473,0,1,-9999,-9999,-9999,-9999,9,315.431,306.25,101170,1.13855,1021.65,2.52E-02,0.627741,2.03E-02,2868.23,5044.43,1.78E-02,56.8594,2176.2,296.504,0.610587,0.655803,-7.24E-03,0.896073,-5.01E-14,-4.09E-15,0.896073,4.83864,235.188,47.0448,-0.46277,-9999,0.377457,1.25909,-57.0115,-7.36E-02,0.196967,0.189649,0,33.8192,-5.1322,11.6091,28.9082,44.0868,61.8324,92.6361,-0.159384,1.01775,108.256,1.01663,373.778,1.06821,-20.3872,1.06821,8.56527,1.06821,0.138709,1.09697,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,6,1,1,30,31,33,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,0.832925,1.4108,0.274446,0.311133,9.94E-03,1943.25,2.92E-06,-9999,9.31E-02,-2.04E-02,8.56527,1.39E-04,-9999,306.184,100954,4.06E-04,6.98E-03,-5.14E-03,4.53E-04,401.975,30.8145,24.6257,103.755,2.02234,80.1507,1.30E-04,3.07E-05,1.15E-04,1.28E-05,9999.99,9999.99,9999.99
2022-08-30T113000_AIU-1200.ghg,8/30/2022,12:30,242.517,1,18000,18000,-0.141222,1,2.57E-02,90.748,0,14.5272,472.885,0,50.5509,-16.0421,0,2.70913,10.846,0,1.15942,0.238307,0,3.32E-02,-9999,-9999,-9999,3.82581,2.59523,-0.365254,5.95E-02,-1.91E-03,-9999,2.94E-11,2.12E-12,1.47E-13,-9999,15.7838,398.646,411.222,0,1,1138.87,28.7641,29.616,0,1,7.92E-02,2.04583,2.11037,0,1,-9999,-9999,-9999,-9999,9,316.234,307.16,101111,1.13433,1021.92,2.53E-02,0.70282,2.05E-02,2909.14,5307.49,1.81E-02,54.812,2398.35,296.739,-0.370899,1.51939,2.56E-02,1.56421,7.46E-14,1.86E-15,1.56421,7.34049,181.946,103.718,0.937337,-9999,0.352842,1.73271,-42.717,-9.83E-02,0.191903,0.22187,0,31.2638,-4.74441,10.7319,26.7238,40.7555,57.1602,85.6365,-0.139541,1.01204,119.093,1.01398,418.35,1.06759,-22.8454,1.06759,9.59518,1.06759,0.159972,1.095,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,0,5,0,15,8,14,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.98407,1.18784,0.293514,0.271731,1.24E-02,2346.26,1.88E-06,-9999,0.102737,-2.28E-02,9.59518,1.60E-04,-9999,307.221,100897,4.02E-04,6.98E-03,-5.15E-03,4.47E-04,399.547,30.651,24.5249,103.698,2.01653,80.7838,1.27E-04,3.52E-05,1.14E-04,1.47E-05,9999.99,9999.99,9999.99
2022-08-30T120000_AIU-1200.ghg,8/30/2022,13:00,242.537,1,18000,18000,-0.143519,1,3.47E-02,65.3725,0,12.8357,455.989,0,46.4218,-14.9059,0,2.16089,10.4602,0,1.0649,0.262953,0,2.79E-02,-9999,-9999,-9999,0.711751,-2.09508,4.80E-02,-4.81E-02,-1.03E-03,-9999,1.60E-10,1.14E-11,8.02E-13,-9999,15.7816,398.986,411.69,0,1,1124.29,28.4239,29.2554,0,1,7.89E-02,2.0385,2.10341,-0.1,0,-9999,-9999,-9999,-9999,9,316.362,307.329,101067,1.13337,1021.72,2.53E-02,0.677821,2.03E-02,2873.48,5357.77,1.79E-02,53.6321,2484.29,296.534,-0.206103,1.37082,2.28E-02,1.38641,8.41E-14,1.02E-14,1.38641,6.65339,196.821,98.5504,0.942602,-9999,0.355852,1.77765,-60.8064,-6.90E-02,0.143364,0.158643,0,33.5417,-5.09008,11.5138,28.6709,43.725,61.3249,91.8759,-0.141679,1.01299,93.014,1.01428,406.697,1.06719,-20.5953,1.06719,9.32946,1.06719,0.190156,1.09493,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,4,0,0,13,5,3,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.80373,1.50141,0.250175,0.30475,1.02E-02,2389.5,1.64E-06,-9999,8.03E-02,-2.06E-02,9.32946,1.90E-04,-9999,307.28,100853,3.98E-04,6.98E-03,-5.16E-03,4.42E-04,399.742,30.919,24.6631,103.695,1.99798,78.7945,1.44E-04,3.38E-05,1.36E-04,1.25E-05,9999.99,9999.99,9999.99
2022-08-30T123000_AIU-1200.ghg,8/30/2022,13:30,242.558,1,18000,18000,-0.169275,1,3.88E-02,-17.3876,2,3.30031,322.994,0,40.5063,-11.4433,0,1.65,7.40369,0,0.928489,0.214494,0,3.35E-02,-9999,-9999,-9999,-3.28157,-4.95555,-0.197478,-0.113592,-2.19E-04,-9999,-4.22E-11,-2.93E-12,-2.12E-13,-9999,15.7609,397.591,410.29,0,1,1094.94,27.6215,28.4061,0,1,7.91E-02,2.03695,2.10201,0,1,-9999,-9999,-9999,-9999,9,315.718,306.55,101031,1.13619,1021.26,2.52E-02,0.479759,1.97E-02,2791.38,5129.78,1.74E-02,54.4151,2338.41,296.055,-0.165416,1.23067,2.67E-02,1.24202,-1.53E-13,-2.67E-15,1.24202,7.60296,198.536,97.6553,1.23345,-9999,0.385984,1.75982,291.627,1.44E-02,-5.38E-02,-3.88E-02,0,37.3659,-5.67042,12.8265,31.9398,48.7102,68.3168,102.351,-0.166941,1.01398,3.03052,1.01469,296.51,1.0671,-12.7608,1.0671,6.79664,1.0671,0.17755,1.09512,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800101009,899999999,899999999,89999,89999,89,89,5,8,5,18,14,10,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.86252,1.43264,0.224488,0.235458,6.60E-03,1845.87,2.23E-06,-9999,2.61E-03,-1.28E-02,6.79664,1.78E-04,-9999,306.252,100817,3.99E-04,6.99E-03,-5.16E-03,4.46E-04,398.024,30.9863,24.6969,103.713,2.01061,79.2952,1.38E-04,2.89E-05,1.25E-04,1.07E-05,9999.99,9999.99,9999.99
2022-08-30T130000_AIU-1200.ghg,8/30/2022,14:00,242.579,1,18000,18000,-0.136437,1,1.91E-02,33.76,0,12.452,475.686,0,43.6055,-13.3983,0,1.71407,10.9109,0,1.00019,0.289531,0,2.76E-02,-9999,-9999,-9999,2.82793,2.19829,0.136113,5.04E-02,-2.58E-04,-9999,-8.95E-11,-6.28E-12,-4.48E-13,-9999,15.7557,398.555,410.886,0,1,1106.05,27.9786,28.784,0,1,7.88E-02,2.03512,2.09809,-0.1,0,-9999,-9999,-9999,-9999,9,316.361,307.223,100975,1.13292,1021.47,2.53E-02,0.707028,1.99E-02,2825.9,5326.27,1.76E-02,53.0559,2500.37,296.258,-0.997623,2.28149,7.55E-04,2.49007,3.01E-14,-5.68E-15,2.49007,8.2941,168.911,113.618,1.74E-02,-9999,0.34703,1.47542,-109.123,-3.85E-02,7.10E-02,8.41E-02,0,29.2463,-4.43825,10.0393,24.9993,38.1256,53.4716,80.1103,-0.135121,1.00974,62.921,1.01435,426.808,1.0726,-17.9412,1.0726,9.78979,1.0726,0.220967,1.09844,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,4,5,3,11,5,6,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.50533,1.10927,0.336216,0.265924,6.96E-03,2098.03,1.80E-06,-9999,5.44E-02,-1.79E-02,9.78979,2.21E-04,-9999,306.966,100763,4.03E-04,6.99E-03,-5.14E-03,4.50E-04,399.034,30.0495,24.1731,103.659,2.01008,79.6675,1.28E-04,3.26E-05,1.14E-04,1.30E-05,9999.99,9999.99,9999.99
2022-08-30T133000_AIU-1200.ghg,8/30/2022,14:30,242.6,1,18000,18000,-0.190264,1,3.42E-02,56.7994,0,17.1212,466.804,0,51.6807,-14.7126,0,2.25409,10.7086,0,1.18557,0.261003,0,3.12E-02,-9999,-9999,-9999,0.560076,-7.17064,0.115794,-0.164496,1.98E-04,-9999,-1.17E-10,-7.85E-12,-5.84E-13,-9999,15.7724,399.376,411.427,0,1,1058.89,26.8123,27.551,0,1,7.89E-02,2.03653,2.09798,-0.1,0,-9999,-9999,-9999,-9999,9,316.242,307.357,100918,1.13229,1020.81,2.53E-02,0.693918,1.91E-02,2706.56,5366,1.69E-02,50.4391,2659.44,295.546,-1.11039,2.34594,1.84E-02,2.59552,-2.55E-14,-7.41E-15,2.59552,8.34937,167.987,115.329,0.406857,-9999,0.40992,1.9247,-106.834,-3.93E-02,0.121677,0.119879,0,30.9846,-4.70204,10.636,26.4852,40.3916,56.6498,84.8718,-0.188449,1.00963,85.055,1.01451,416.358,1.07337,-20.0415,1.07337,9.55136,1.07337,0.189797,1.09904,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,1,5,1,7,12,6,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,2.02297,1.42032,0.406108,0.258415,6.87E-03,1979.32,1.52E-06,-9999,7.36E-02,-2.00E-02,9.55136,1.90E-04,-9999,306.997,100706,4.00E-04,6.99E-03,-5.16E-03,4.49E-04,399.725,29.3167,23.7535,103.648,2.01353,80.052,1.18E-04,3.57E-05,1.04E-04,1.52E-05,9999.99,9999.99,9999.99
2022-08-30T140000_AIU-1200.ghg,8/30/2022,15:00,242.621,1,18000,18000,-0.174646,0,3.63E-02,27.551,0,10.1309,391.595,0,42.0228,-13.0371,0,1.85181,8.9847,0,0.964166,0.26453,0,2.89E-02,-9999,-9999,-9999,0.682894,-1.5265,-5.58E-02,-3.50E-02,7.62E-05,-9999,7.16E-11,4.76E-12,3.58E-13,-9999,15.7422,398.98,411.036,0,1,1048.1,26.5637,27.2886,0,1,7.88E-02,2.03707,2.09862,-0.1,0,-9999,-9999,-9999,-9999,9,316.51,307.52,100878,1.13135,1020.67,2.53E-02,0.582209,1.89E-02,2680.42,5414.83,1.67E-02,49.5014,2734.41,295.387,-0.347379,1.6733,-3.69E-03,1.70898,-6.80E-14,4.55E-15,1.70898,6.0073,183.538,101.728,-0.123862,-9999,0.392898,1.66238,-193.875,-2.17E-02,7.04E-02,6.07E-02,0,31.5296,-4.78474,10.8231,26.951,41.102,57.6462,86.3645,-0.17267,1.01145,51.6993,1.01386,353.571,1.06809,-16.7063,1.06809,8.11231,1.06809,0.206111,1.09524,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,5,6,0,17,32,11,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.48355,1.48467,0.356528,9.84E-02,5.11E-03,1519.12,1.42E-06,-9999,4.48E-02,-1.67E-02,8.11231,2.06E-04,-9999,307.201,100665,3.97E-04,7.00E-03,-5.17E-03,4.45E-04,399.387,29.3596,23.7739,103.641,2.01401,78.031,1.35E-04,3.83E-05,1.27E-04,1.49E-05,9999.99,9999.99,9999.99
