file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,RSSI_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,air_t_mean,air_p_mean,u_mean,v_mean,w_mean,ts_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,ch4_tc_1_mean,ch4_tc_2_mean,ch4_tc_3_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-10-05T093000_AIU-1200.ghg,2022-10-05,10:00,278.417,1,18000,18000,-0.147464,1,0.408115E-01,28.8904,1,12.4553,160.828,1,23.1962,-1.74242,1,1.09444,3.62178,1,0.522370,0.914626E-01,1,0.992324E-02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.465683E-10,0.162273E-11,0.234446E-12,-9999,17.2089,407.128,414.346,0.00000,1,599.665,14.1868,14.3910,0.100000,0,0.866374E-01,2.04480,2.08105,-0.100000,0,-9999,-9999,-9999,-9999,9,297.199,288.293,101313.,1.21774,1013.20,0.236579E-01,0.234691,0.108060E-01,1437.70,1715.79,0.887378E-02,83.7922,278.092,285.537,0.966832,-1.28354,0.135103,1.61261,0.666777E-14,0.270606E-14,1.61261,6.77756,334.550,306.989,4.80582,-9999,0.347989,1.31643,-128.516,-0.326684E-01,0.179636,0.672878E-01,0,27.3387,-4.14876,9.38451,23.3688,35.6388,49.9840,74.8851,-0.145740,1.01183,37.7921,1.01393,146.462,1.06774,-4.32216,1.06774,3.29826,1.06774,0.657464E-01,1.09506,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800001019,899999999,899999999,89999,89999,89,89,13,3,1,32,42,6,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.28151,0.952000,0.399347,0.134981,0.163147E-02,315.361,0.104016E-06,-9999,0.306301E-01,-0.432216E-02,3.29826,0.657464E-04,-9999,288.425,101105.,0.265636E-03,0.655862E-02,-0.492681E-02,0.359143E-03,408.125,17.4635,15.4843,104.024,2.03199,81.8941,0.141638E-03,0.263433E-04,0.124161E-03,0.117448E-04,9999.99,9999.99,9999.99
2022-10-05T100000_AIU-1200.ghg,2022-10-05,10:30,278.437,1,18000,18000,-0.104813,1,0.222080E-01,39.0207,0,7.23008,132.601,0,17.6630,-2.97955,0,0.976009,2.98801,0,0.398016,0.814712E-01,0,0.667160E-02,-9999,-9999,-9999,2.93082,-0.379971,-0.910405E-01,-0.856221E-02,0.114901E-03,-9999,0.150947E-10,0.524662E-12,0.760796E-13,-9999,17.1463,406.523,413.757,0.00000,1,595.973,14.1300,14.3325,0.00000,1,0.864202E-01,2.04556,2.08196,-0.100000,0,-9999,-9999,-9999,-9999,9,298.088,288.949,101325.,1.21514,1013.18,0.237091E-01,0.193623,0.107394E-01,1432.10,1789.55,0.883803E-02,80.0257,357.450,285.478,0.982644,-1.10522,0.883644E-01,1.48152,-0.951570E-14,0.880345E-15,1.48152,6.87449,328.484,311.640,3.41940,-9999,0.293692,1.06549,-57.2046,-0.733928E-01,0.294272,0.107917,0,27.7383,-4.20939,9.52165,23.7103,36.1596,50.7144,75.9794,-0.103524,1.01245,46.1767,1.01410,119.758,1.06737,-5.69178,1.06737,2.69862,1.06737,0.554046E-01,1.09493,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800110019,899999999,899999999,89999,89999,89,89,25,19,5,27,38,18,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.30720,0.549612,0.274149,0.661364E-01,0.169256E-02,279.368,0.859047E-07,-9999,0.375066E-01,-0.569178E-02,2.69862,0.554046E-04,-9999,289.183,101116.,0.258812E-03,0.658607E-02,-0.498071E-02,0.343309E-03,407.667,17.5325,15.5480,104.042,2.03282,82.3410,0.145649E-03,0.442303E-04,0.135824E-03,0.217914E-04,9999.99,9999.99,9999.99
2022-10-05T103000_AIU-1200.ghg,2022-10-05,11:00,278.458,1,18000,18000,-0.127110,1,0.307946E-01,38.4711,0,10.8348,146.781,0,20.4100,-3.28269,0,1.25109,3.30876,0,0.460084,0.800085E-01,0,0.736330E-02,-9999,-9999,-9999,1.69354,-0.423350,-0.853644E-01,-0.954319E-02,-0.636114E-04,-9999,0.957485E-10,0.331773E-11,0.482967E-12,-9999,17.1010,405.956,413.170,-0.100000,0,592.558,14.0665,14.2672,0.00000,1,0.862595E-01,2.04514,2.08148,-0.100000,0,-9999,-9999,-9999,-9999,9,298.590,289.328,101332.,1.21365,1013.16,0.237387E-01,0.214408,0.106779E-01,1425.77,1833.48,0.879814E-02,77.7627,407.717,285.410,1.15235,-1.30160,0.947322E-01,1.74099,-0.566156E-13,0.559900E-14,1.74099,7.53424,331.041,311.519,3.11917,-9999,0.323626,1.15226,-77.6356,-0.540783E-01,0.262098,0.966764E-01,0,28.7070,-4.35640,9.85418,24.5383,37.4225,52.4855,78.6329,-0.125686,1.01133,46.4779,1.01385,132.813,1.06822,-6.06184,1.06822,2.99387,1.06822,0.533223E-01,1.09531,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800011119,899999999,899999999,89999,89999,89,89,16,33,5,53,43,16,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.40890,0.589770,0.305842,0.121922,0.257272E-02,292.817,0.816725E-07,-9999,0.377984E-01,-0.606184E-02,2.99387,0.533223E-04,-9999,289.501,101122.,0.263240E-03,0.661070E-02,-0.500261E-02,0.342716E-03,407.012,17.5053,15.5241,104.050,2.03247,82.4172,0.150656E-03,0.440998E-04,0.142516E-03,0.199649E-04,9999.99,9999.99,9999.99
2022-10-05T110000_AIU-1200.ghg,2022-10-05,11:30,278.479,1,18000,18000,-0.180291,1,0.445057E-01,69.3676,0,9.93070,178.915,0,26.7634,-3.67733,0,1.63467,4.03458,0,0.603521,0.863547E-01,0,0.688291E-02,-9999,-9999,-9999,1.66886,0.889376,-0.780597E-01,0.200556E-01,-0.223477E-04,-9999,-0.123341E-09,-0.431990E-11,-0.622573E-12,-9999,17.0587,405.437,412.726,0.00000,1,597.465,14.2000,14.4046,0.00000,1,0.861051E-01,2.04499,2.08176,-0.100000,0,-9999,-9999,-9999,-9999,9,299.175,289.703,101341.,1.21214,1013.24,0.237671E-01,0.261441,0.107663E-01,1439.44,1877.75,0.888208E-02,76.6574,438.316,285.555,1.26034,-1.61648,0.724011E-01,2.05102,0.553826E-13,-0.723039E-14,2.05102,8.02994,334.090,307.943,2.02296,-9999,0.385665,1.63364,-72.8759,-0.576102E-01,0.387713,0.146447,0,28.5782,-4.33686,9.80998,24.4282,37.2546,52.2501,78.2802,-0.178426,1.01045,78.8289,1.01389,160.043,1.06977,-8.07570,1.06977,3.60899,1.06977,0.483579E-01,1.09632,-9999,-9999,800000009,800000009,800000009,800000009,800001019,800011119,899999999,899999999,89999,89999,89,89,3,3,5,20,23,29,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.89060,0.937034,0.439631,0.694428E-01,0.345683E-02,334.989,0.590748E-07,-9999,0.641830E-01,-0.807570E-02,3.60899,0.483579E-04,-9999,289.830,101131.,0.267495E-03,0.662699E-02,-0.501220E-02,0.348143E-03,406.428,17.7049,15.7023,104.058,2.03221,82.4251,0.149984E-03,0.545816E-04,0.144896E-03,0.256926E-04,9999.99,9999.99,9999.99
2022-10-05T113000_AIU-1200.ghg,2022-10-05,12:00,278.500,1,18000,18000,-0.137181,1,0.354592E-01,88.2280,0,12.1980,157.706,0,20.8154,-4.21525,0,1.38693,3.55762,0,0.469566,0.832410E-01,0,0.553032E-02,-9999,-9999,-9999,1.72242,2.07676,-0.145547,0.468488E-01,-0.312054E-04,-9999,-0.589700E-10,-0.211583E-11,-0.298136E-12,-9999,16.9980,404.467,411.873,0.00000,1,609.884,14.5122,14.7259,0.00000,1,0.859372E-01,2.04478,2.08223,-0.100000,0,-9999,-9999,-9999,-9999,9,299.523,290.090,101358.,1.21058,1013.42,0.237950E-01,0.230534,0.109901E-01,1471.32,1924.47,0.907841E-02,76.4531,453.153,285.889,1.10238,-1.33412,0.905170E-01,1.73301,-0.119597E-13,-0.346923E-14,1.73301,6.94488,332.733,309.567,2.99399,-9999,0.336628,1.28454,-38.1094,-0.110167,0.559447,0.213635,0,28.0060,-4.25001,9.61354,23.9391,36.5086,51.2038,76.7126,-0.135640,1.01136,96.2295,1.01385,139.221,1.06819,-9.23842,1.06819,3.14063,1.06819,0.414955E-01,1.09529,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800001119,899999999,899999999,89999,89999,89,89,5,9,2,15,12,24,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.52648,0.690589,0.351999,0.133454,0.286805E-02,278.449,0.524520E-07,-9999,0.784377E-01,-0.923842E-02,3.14063,0.414955E-04,-9999,290.483,101147.,0.273103E-03,0.663581E-02,-0.501187E-02,0.353747E-03,405.828,18.0426,16.0009,104.071,2.03173,82.3958,0.148263E-03,0.560698E-04,0.143223E-03,0.268598E-04,9999.99,9999.99,9999.99
2022-10-05T120000_AIU-1200.ghg,2022-10-05,12:30,278.521,1,18000,18000,-0.859909E-01,1,0.216723E-01,76.2880,1,9.65441,135.533,1,17.3780,-4.04389,1,1.04086,3.05915,1,0.392244,0.729604E-01,1,0.480473E-02,-9999,-9999,-9999,2.57838,0.347084,-0.305083E-01,0.783411E-02,-0.431660E-04,-9999,-0.129685E-09,-0.467219E-11,-0.655489E-12,-9999,16.9557,404.263,411.680,0.00000,1,610.867,14.5645,14.7798,0.00000,1,0.857021E-01,2.04449,2.08200,-0.100000,0,-9999,-9999,-9999,-9999,9,300.030,290.670,101359.,1.20815,1013.47,0.238423E-01,0.198233,0.110078E-01,1476.64,1996.46,0.911131E-02,73.9629,519.819,285.944,1.07723,-1.27535,0.770963E-01,1.67120,-0.582931E-14,-0.764846E-14,1.67120,6.85152,330.407,310.186,2.64413,-9999,0.266788,1.11667,-21.9403,-0.191355,0.562874,0.233539,0,24.0590,-3.65105,8.25868,20.5653,31.3633,43.9875,65.9013,-0.850057E-01,1.01159,83.1754,1.01388,119.629,1.06795,-8.34807,1.06795,2.70018,1.06795,0.368163E-01,1.09516,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800111019,899999999,899999999,89999,89999,89,89,7,1,1,18,10,16,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.30725,0.602943,0.323151,0.126068,0.238532E-02,240.278,0.434760E-07,-9999,0.679306E-01,-0.834807E-02,2.70018,0.368163E-04,-9999,291.084,101149.,0.284229E-03,0.665340E-02,-0.501143E-02,0.362205E-03,405.653,18.0780,16.0323,104.076,2.03141,82.4358,0.142662E-03,0.599436E-04,0.138107E-03,0.288146E-04,9999.99,9999.99,9999.99
2022-10-05T123000_AIU-1200.ghg,2022-10-05,13:00,278.542,1,18000,18000,-0.207480,1,0.365632E-01,76.4211,0,11.7363,151.445,0,23.5794,-4.26359,0,1.71554,3.41936,0,0.532383,0.860832E-01,0,0.744238E-02,-9999,-9999,-9999,1.45016,-0.534910,0.143002E-01,-0.120774E-01,-0.120536E-03,-9999,0.590213E-10,0.211409E-11,0.298098E-12,-9999,16.9377,404.359,411.746,0.00000,1,606.694,14.4838,14.6966,0.00000,1,0.855470E-01,2.04369,2.08102,-0.100000,0,-9999,-9999,-9999,-9999,9,300.293,290.997,101341.,1.20662,1013.43,0.238733E-01,0.221575,0.109326E-01,1468.20,2038.03,0.906053E-02,72.0402,569.828,285.857,1.38929,-1.68691,0.113178,2.18829,0.507117E-13,0.348461E-14,2.18829,9.44469,331.335,309.474,2.96466,-9999,0.414671,1.87969,-82.2319,-0.510556E-01,0.504615,0.150712,0,29.0061,-4.40179,9.95685,24.7940,37.8124,53.0324,79.4522,-0.205390,1.01017,84.2189,1.01399,134.020,1.07059,-8.67199,1.07059,3.02596,1.07059,0.477160E-01,1.09691,-9999,-9999,800000009,800000009,800000009,800000009,800001019,810011119,899999999,899999999,89999,89999,89,89,5,12,1,39,41,29,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,2.29441,0.975133,0.489846,0.115989,0.387809E-02,261.165,0.559573E-07,-9999,0.688726E-01,-0.867199E-02,3.02596,0.477160E-04,-9999,291.371,101132.,0.289915E-03,0.666969E-02,-0.501647E-02,0.368055E-03,405.688,17.9996,15.9613,104.083,2.03070,82.4747,0.137970E-03,0.631583E-04,0.134051E-03,0.315875E-04,9999.99,9999.99,9999.99
2022-10-05T130000_AIU-1200.ghg,2022-10-05,13:30,278.562,1,18000,18000,-0.131815,1,0.292914E-01,74.8396,1,9.69603,144.106,1,20.0231,-2.99485,1,1.19774,3.25513,1,0.452291,0.839816E-01,1,0.608278E-02,-9999,-9999,-9999,2.04521,1.42619,-0.168667,0.322155E-01,-0.178069E-03,-9999,0.171094E-09,0.623714E-11,0.865719E-12,-9999,16.8607,403.229,410.700,0.00000,1,614.648,14.6995,14.9188,0.100000,0,0.853135E-01,2.04249,2.08034,-0.100000,0,-9999,-9999,-9999,-9999,9,300.773,291.459,101324.,1.20440,1013.56,0.239153E-01,0.210932,0.110760E-01,1489.81,2098.05,0.919624E-02,71.0093,608.238,286.080,0.919269,-1.42478,0.215606E-01,1.69574,-0.234920E-13,0.101475E-13,1.69574,9.01187,341.890,302.830,0.728513,-9999,0.330823,1.37248,-42.6351,-0.984729E-01,0.519337,0.185317,0,26.3100,-3.99264,9.03137,22.4894,34.2977,48.1030,72.0671,-0.130317,1.01150,82.2759,1.01387,127.583,1.06804,-7.35389,1.06804,2.88190,1.06804,0.467665E-01,1.09521,-9999,-9999,800000009,800000009,800000009,800000009,800001019,800101119,899999999,899999999,89999,89999,89,89,7,21,5,21,25,26,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.57480,0.772805,0.397374,0.877398E-01,0.222894E-02,234.350,0.528471E-07,-9999,0.673990E-01,-0.735389E-02,2.88190,0.467665E-04,-9999,291.903,101114.,0.299519E-03,0.668469E-02,-0.501349E-02,0.378399E-03,404.656,18.2558,16.1806,104.083,2.02932,82.4977,0.135048E-03,0.682780E-04,0.132338E-03,0.342158E-04,9999.99,9999.99,9999.99
2022-10-05T133000_AIU-1200.ghg,2022-10-05,14:00,278.583,1,18000,18000,-0.776954E-01,1,0.223934E-01,53.9995,1,6.35021,93.1899,1,12.1059,-3.24308,1,0.827075,2.10536,1,0.273497,0.632153E-01,1,0.443232E-02,-9999,-9999,-9999,0.747920,0.668831,-0.863369E-01,0.151103E-01,-0.466630E-03,-9999,0.546399E-10,0.200848E-11,0.276417E-12,-9999,16.8248,402.650,410.167,0.00000,1,618.453,14.8008,15.0231,0.00000,1,0.851148E-01,2.03936,2.07743,-0.100000,0,-9999,-9999,-9999,-9999,9,300.985,291.628,101312.,1.20352,1013.62,0.239319E-01,0.136427,0.111445E-01,1499.90,2120.39,0.925995E-02,70.7369,620.494,286.183,1.49143,-1.48902,0.435901E-01,2.10795,-0.651357E-13,0.324758E-14,2.10795,6.88873,326.532,315.046,1.18490,-9999,0.254080,1.25900,-26.7675,-0.156847,0.579457,0.174217,0,23.3969,-3.55057,8.03141,19.9993,30.5003,42.7770,64.0878,-0.769010E-01,1.01033,58.7239,1.01392,81.9133,1.07010,-6.20947,1.07010,1.85059,1.07010,0.367702E-01,1.09655,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800011119,899999999,899999999,89999,89999,89,89,2,1,4,34,21,28,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.32259,0.880732,0.314669,0.565636E-01,0.146391E-02,137.173,0.413394E-07,-9999,0.481379E-01,-0.620947E-02,1.85059,0.367702E-04,-9999,291.876,101102.,0.305123E-03,0.669590E-02,-0.501240E-02,0.382597E-03,403.804,18.3773,16.2838,104.083,2.02613,82.4492,0.133010E-03,0.747478E-04,0.131478E-03,0.379148E-04,9999.99,9999.99,9999.99
