date,time,DOY,LOGGERPOWER_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SHFSENS1_1_1_1,SHFSENS2_2_1_1,SHFSENS3_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,VERSION_1_1_1,_0_0_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[OTHER],[OTHER],[OTHER],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[OTHER],[OTHER]
2022-06-02,17:30,153.7290,1.00000,38.8333,12.8244,209.278,0.00000,99.2255,48.0856,42.3450,-22581.4,29636.6,4921.98,1.00000,1.00000,1.00000,0.635428,0.646006,0.575000,305.156,299.307,298.750,300.665,2.00000,0.00000
2022-06-02,18:00,153.7498,1.00000,34.0833,12.6605,32.1842,0.00000,14.9307,57.8258,-29.8059,-18087.9,28841.4,6068.38,1.00000,1.00000,1.00000,0.635158,0.646000,0.575000,301.177,299.350,298.752,300.650,2.00000,0.00000
2022-06-02,18:30,153.7707,1.00000,28.8533,12.6096,15.5648,0.00000,6.74217,83.2145,-99.5637,-28110.6,27196.2,10694.6,1.00000,1.00000,1.00000,0.635986,0.646000,0.575000,296.430,299.350,298.759,300.650,2.00000,0.00000
2022-06-02,19:00,153.7915,1.00000,26.7367,12.5927,32.4637,0.00000,21.6663,89.5084,-46.5944,-23259.4,37178.0,25322.2,1.00000,1.00000,1.00000,0.636000,0.646000,0.574794,296.098,299.406,298.751,300.404,2.00000,0.00000
2022-06-02,20:00,153.8332,1.00000,25.0433,12.5394,0.747176,0.00000,0.344886,97.2174,-53.5623,-23254.0,40314.3,19026.6,1.00000,1.00000,1.00000,0.635961,0.646000,0.575333,295.538,299.550,298.750,299.939,2.00000,0.00000
2022-06-02,20:30,153.8540,1.00000,24.3600,12.5148,0.145726E-01,0.00000,0.238309E-01,98.6148,-49.0503,-33061.5,32333.2,-3655.31,1.00000,1.00000,1.00000,0.636356,0.646000,0.575589,295.219,299.550,298.750,299.699,2.00000,0.00000
2022-06-02,21:00,153.8748,1.00000,23.7000,12.4998,0.145726E-01,0.500000E-03,-0.728169E-02,97.2891,-28.6544,-28521.6,21856.5,16844.4,1.00000,1.00000,1.00000,0.636500,0.646006,0.575000,295.385,299.550,298.734,299.465,2.00000,0.00000
2022-06-02,21:30,153.8956,1.00000,23.5933,12.4788,0.278204E-01,0.100000E-03,0.926758E-02,99.5792,-30.7527,-4612.93,35539.7,16803.2,1.00000,1.00000,1.00000,0.636356,0.646000,0.575008,295.166,299.550,298.602,299.212,2.00000,0.00000
2022-06-02,22:00,153.9165,1.00000,23.4333,12.4617,-0.662389E-02,0.400000E-03,0.105915E-01,99.9752,-20.8804,-24786.9,30957.2,1733.00,1.00000,1.00000,1.00000,0.636228,0.645647,0.576492,294.914,299.550,298.550,299.021,2.00000,0.00000
2022-06-02,22:30,153.9373,1.00000,23.4000,12.4423,-0.264956E-01,0.100000E-03,-0.132395E-02,99.9727,-23.4109,-24314.0,40023.8,14097.5,1.00000,1.00000,1.00000,0.636022,0.645000,0.578000,294.777,299.550,298.550,298.750,2.00000,0.00000
2022-06-02,23:00,153.9581,1.00000,23.4000,12.4342,0.198717E-01,0.100000E-03,0.661970E-03,99.9738,-25.5871,-30678.0,24332.9,7378.64,1.00000,1.00000,1.00000,0.636000,0.645050,0.578000,294.619,299.550,298.550,298.653,2.00000,0.00000
