date,time,DOY,LOGGERPOWER_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SHFSENS1_1_1_1,SHFSENS2_2_1_1,SHFSENS3_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,VERSION_1_1_1,_0_0_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[OTHER],[OTHER],[OTHER],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[OTHER],[OTHER]
2022/06/02,17:30:00,153.729,1,38.8333,12.8244,209.278,0,99.2255,48.0856,42.345,-22581.4,29636.6,4921.98,1,1,1,0.635428,0.646006,0.575,305.156,299.307,298.75,300.665,2,0
2022/06/02,18:00:00,153.7498,1,34.0833,12.6605,32.1842,0,14.9307,57.8258,-29.8059,-18087.9,28841.4,6068.38,1,1,1,0.635158,0.646,0.575,301.177,299.35,298.752,300.65,2,0
2022/06/02,18:30:00,153.7707,1,28.8533,12.6096,15.5648,0,6.74217,83.2145,-99.5637,-28110.6,27196.2,10694.6,1,1,1,0.635986,0.646,0.575,296.43,299.35,298.759,300.65,2,0
2022/06/02,19:00:00,153.7915,1,26.7367,12.5927,32.4637,0,21.6663,89.5084,-46.5944,-23259.4,37178,25322.2,1,1,1,0.636,0.646,0.574794,296.098,299.406,298.751,300.404,2,0
2022/06/02,20:00:00,153.8332,1,25.0433,12.5394,0.747176,0,0.344886,97.2174,-53.5623,-23254,40314.3,19026.6,1,1,1,0.635961,0.646,0.575333,295.538,299.55,298.75,299.939,2,0
2022/06/02,20:30:00,153.854,1,24.36,12.5148,1.46E-02,0,2.38E-02,98.6148,-49.0503,-33061.5,32333.2,-3655.31,1,1,1,0.636356,0.646,0.575589,295.219,299.55,298.75,299.699,2,0
2022/06/02,21:00:00,153.8748,1,23.7,12.4998,1.46E-02,5.00E-04,-7.28E-03,97.2891,-28.6544,-28521.6,21856.5,16844.4,1,1,1,0.6365,0.646006,0.575,295.385,299.55,298.734,299.465,2,0
2022/06/02,21:30:00,153.8956,1,23.5933,12.4788,2.78E-02,1.00E-04,9.27E-03,99.5792,-30.7527,-4612.93,35539.7,16803.2,1,1,1,0.636356,0.646,0.575008,295.166,299.55,298.602,299.212,2,0
2022/06/02,22:00:00,153.9165,1,23.4333,12.4617,-6.62E-03,4.00E-04,1.06E-02,99.9752,-20.8804,-24786.9,30957.2,1733,1,1,1,0.636228,0.645647,0.576492,294.914,299.55,298.55,299.021,2,0
2022/06/02,22:30:00,153.9373,1,23.4,12.4423,-2.65E-02,1.00E-04,-1.32E-03,99.9727,-23.4109,-24314,40023.8,14097.5,1,1,1,0.636022,0.645,0.578,294.777,299.55,298.55,298.75,2,0
2022/06/02,23:00:00,153.9581,1,23.4,12.4342,1.99E-02,1.00E-04,6.62E-04,99.9738,-25.5871,-30678,24332.9,7378.64,1,1,1,0.636,0.64505,0.578,294.619,299.55,298.55,298.653,2,0
2022/06/02,23:30:00,153.979,1,23.24,12.4149,-1.59E-02,0,7.28E-03,99.9728,-24.0512,-37846.6,35292.2,15105.7,1,1,1,0.636,0.645033,0.577764,294.709,299.55,298.55,298.55,2,0
2022/06/03,0:00:00,154,1,23.15,12.4071,-1.85E-02,0,1.99E-02,99.9743,-27.4084,-31355.3,17243.3,-5947.4,1,1,1,0.636,0.645156,0.577044,294.793,299.551,298.549,298.533,2,0
2022/06/03,0:30:00,154.0208,1,23.12,12.3902,-3.97E-03,0,4.63E-03,99.9765,-24.0217,-54557.3,13315.8,-20178.2,1,1,1,0.636,0.645189,0.577006,294.739,299.579,298.447,298.255,2,0
2022/06/03,1:00:00,154.0416,1,23.1,12.374,-3.58E-02,0,1.59E-02,99.9746,-33.1897,-64794.5,30678.5,4912.04,1,1,1,0.635645,0.645261,0.577,294.516,299.557,298.259,298.247,2,0
2022/06/03,1:30:00,154.0624,1,22.93,12.3643,-1.32E-02,0,2.25E-02,99.9727,-38.1317,-64088.2,-16661.9,-43895.8,1,1,1,0.635061,0.645711,0.577103,294.344,299.552,298.25,298.062,2,0
2022/06/03,2:00:00,154.0833,1,22.68,12.3613,1.59E-02,0,-1.59E-03,99.9725,-28.1913,-62659.8,-23017.5,-46393,1,1,1,0.634967,0.64596,0.577923,294.246,299.55,298.25,298.05,2,0
2022/06/03,2:30:00,154.1041,1,22.5,12.3466,2.65E-03,0,1.26E-02,99.9714,-28.5304,-41755.9,31010.5,30904.6,1,1,1,0.63565,0.646436,0.579464,294.162,299.55,298.25,298.048,2,0
2022/06/03,3:00:00,154.1249,1,22.5,12.3368,-2.38E-02,0,7.28E-03,99.9732,-25.2917,-42673.4,28837.4,156.788,1,1,1,0.635678,0.646519,0.5799,294.159,299.55,298.25,297.917,2,0
2022/06/03,3:30:00,154.1458,1,22.5,12.3254,-6.62E-03,0,8.61E-03,99.9714,-24.3538,-31779.9,32226.8,23470.7,1,1,1,0.63575,0.646628,0.579794,294.041,299.55,298.25,297.85,2,0
2022/06/03,4:00:00,154.1666,1,22.41,12.3166,5.30E-03,0,8.61E-03,99.9733,-28.6884,-59575.2,-15922.1,-40528.7,1,1,1,0.635903,0.646953,0.579339,293.967,299.437,298.25,297.85,2,0
2022/06/03,4:30:00,154.1874,1,22.34,12.3082,1.06E-02,0,1.99E-03,99.9704,-22.9448,-37140.1,24145.7,-792.618,1,1,1,0.635128,0.648511,0.579719,294.049,299.35,298.213,297.85,2,0
2022/06/03,5:00:00,154.2083,1,22.48,12.2941,3.85908,0,1.54372,99.9725,-40.7418,-64722.6,28999.4,-5254.44,1,1,1,0.636211,0.648989,0.580383,293.95,299.224,298.066,297.85,2,0
2022/06/03,5:30:00,154.2291,1,22.2222,12.3078,43.8634,0,20.3828,99.9721,-30.8382,-63659,31518.4,8683.68,1,1,1,0.636389,0.648975,0.580364,293.892,299.062,298.05,297.848,2,0
2022/06/03,6:00:00,154.2499,1,22.21,12.3222,80.1253,0,32.3009,99.9734,-19.4274,-56675.5,30515.9,29360.7,1,1,1,0.636156,0.64895,0.580311,294.099,299.05,298.05,297.85,2,0
2022/06/03,6:30:00,154.2707,1,22.42,12.3354,127.132,0,45.5628,99.9724,-4.34397,-43741.5,16694.7,5440.06,1,1,1,0.635422,0.648878,0.580147,294.383,299.05,298.05,297.85,2,0
2022/06/03,7:00:00,154.2916,1,22.74,12.3442,147.203,0,47.0774,99.8624,9.40165,-39003.6,45447.4,9705.98,1,1,1,0.636278,0.647567,0.578625,294.459,299.05,298.05,297.85,2,0
2022/06/03,7:30:00,154.3124,1,22.79,12.3992,322.1,0,134.139,94.7664,119.076,-37828.1,31152.4,1396.01,1,1,1,0.63655,0.646856,0.578667,294.609,298.837,298.05,297.85,2,0
2022/06/03,8:00:00,154.3332,1,23.1103,12.603,753.586,0,375.024,89.3431,282.189,-51537.9,23185.6,16890.9,1,1,1,0.635851,0.646902,0.578948,295.055,298.682,298.05,297.849,2,0
2022/06/03,8:30:00,154.3541,1,24.4767,12.8866,786.212,0,379.052,82.6201,287.029,-58575.9,-2151.4,-19468.5,1,1,1,0.6354,0.64695,0.578894,295.148,298.558,298.033,297.85,2,0
2022/06/03,9:00:00,154.3749,1,25.5333,13.0117,778.635,0,368.726,67.4779,286.407,-58477.4,8513.81,-5376.77,1,1,1,0.63545,0.648261,0.578889,295.294,298.582,297.926,297.85,2,0
2022/06/03,9:30:00,154.3957,1,26.3,13.5751,1362.54,0,665.536,60.4917,521.849,-37368.6,26473.7,16354.9,1,1,1,0.63555,0.647992,0.578783,296.031,298.703,297.863,297.85,2,0
2022/06/03,10:00:00,154.4165,1,27.9233,13.6351,1359.31,0,667.468,56.5683,530.442,-50553.9,13544.5,10754.2,1,1,1,0.635336,0.647864,0.578989,297.009,298.573,297.922,297.85,2,0
2022/06/03,10:30:00,154.4374,1,29.17,13.6394,906.861,0,449.919,57.5765,353.477,-34535.7,41719.8,2271.32,1,1,1,0.63505,0.648056,0.57905,296.85,298.55,297.945,297.85,2,0
2022/06/03,11:00:00,154.4582,1,29.4,13.6443,957.648,0,474.322,49.5845,369.863,-36751.6,29834.6,2293.82,1,1,1,0.635008,0.647589,0.579353,296.961,298.55,298.041,297.85,2,0
2022/06/03,11:30:00,154.479,1,29.84,13.6322,1398.29,0,700.56,45.1681,547.022,-33094.2,17280.7,2980.02,1,1,1,0.635,0.646961,0.5797,297.627,298.55,298.049,297.919,2,0
2022/06/03,12:00:00,154.4999,1,30.51,13.6352,957.506,0,486.018,47.3158,359.676,-32863.7,40001.9,15036.4,1,1,1,0.635,0.646611,0.579756,297.485,298.55,298.05,298.028,2,0
2022/06/03,12:30:00,154.5207,1,30.6,13.6327,967.356,0,491.879,50.168,367.884,-32453.6,27563.2,11471.8,1,1,1,0.635,0.646478,0.579467,297.501,298.55,298.05,298.05,2,0
2022/06/03,13:00:00,154.5415,1,30.83,13.6093,1307.09,0,654.921,48.3103,507.67,-19908.9,26833.7,6282.26,1,1,1,0.635,0.646289,0.577836,297.79,298.443,298.05,298.05,2,0
2022/06/03,13:30:00,154.5624,1,31.7467,13.5689,1406.63,0,701.573,45.3919,540.326,-18781.8,29660.9,687.752,1,1,1,0.634578,0.646328,0.577047,298.587,298.26,298.054,298.05,2,0
2022/06/03,14:00:00,154.5832,1,32.41,13.5479,1390.09,0,690.805,45.9388,518.5,-34783.4,41982.9,11016.4,1,1,1,0.6341,0.646417,0.576911,298.555,298.25,298.122,298.053,2,0
2022/06/03,14:30:00,154.604,1,32.43,13.5661,1200.04,0,584.717,45.4984,438.223,-20947.4,38499.4,11351.2,1,1,1,0.634075,0.646069,0.576944,298.363,298.25,298.249,298.189,2,0
2022/06/03,15:00:00,154.6249,1,32.57,13.5644,1217.81,0,600.289,45.1071,448.719,-20730.9,25892,4008.49,1,1,1,0.634061,0.645358,0.576989,298.735,298.25,298.25,298.25,2,0
2022/06/03,15:30:00,154.6457,1,33.1,13.5476,1252.96,0,616.524,42.643,456.342,-24771.3,28589.3,6586.75,1,1,1,0.634024,0.645083,0.576993,298.826,298.25,298.25,298.25,2,0
2022/06/03,16:00:00,154.6665,1,33.6767,13.5236,1202.25,0,584.508,35.9705,411.201,-40454.6,28099.7,-3962.5,1,1,1,0.634214,0.644611,0.576997,299.402,298.25,298.257,298.481,2,0
2022/06/03,16:30:00,154.6873,1,33.6321,13.5311,1054.19,0,515.025,39.4743,349.758,-20787.4,33503.5,4860.69,1,1,1,0.634943,0.644232,0.577,298.993,298.251,298.293,298.55,2,0
2022/06/03,17:00:00,154.7082,1,33.6067,13.3187,686.733,0,330.277,40.5915,194.857,-35951.4,26959.2,9470.2,1,1,1,0.634986,0.643739,0.577078,298.492,298.267,298.333,298.55,2,0
2022/06/03,18:00:00,154.7498,1,29.3567,13.0035,334.156,0,169.368,50.6237,84.6827,-42113.5,25507.5,9263.59,1,1,1,0.634961,0.643095,0.5779,296.474,298.258,298.25,298.55,2,0
2022/06/03,18:30:00,154.7707,1,28.71,12.8284,241.933,0,124.379,54.2203,36.4051,-23131.9,30615.2,21111,1,1,1,0.634183,0.643045,0.577828,296.148,298.25,298.25,298.55,2,0
2022/06/03,19:00:00,154.7915,1,27.19,12.6829,80.2631,0,42.5204,63.3796,-27.1069,-11391.8,51820.5,31151.5,1,1,1,0.634,0.643097,0.577422,294.767,298.25,298.25,298.55,2,0
2022/06/03,19:30:00,154.8123,1,25.2433,12.6237,29.2896,0,18.7821,68.5273,-36.4557,-14664,29983.3,31753.3,1,1,1,0.634,0.643172,0.576703,293.771,298.25,298.25,298.55,2,0
2022/06/03,20:00:00,154.8332,1,23.4633,12.576,1.46786,0,1.739,73.0393,-54.7466,-9511.42,34334.2,34151.8,1,1,1,0.634006,0.643389,0.576705,292.852,298.25,298.152,298.55,2,0
2022/06/03,20:30:00,154.854,1,21.8367,12.5452,1.59E-02,0,4.24E-02,75.7902,-55.8486,-22724.1,37361,28595.2,1,1,1,0.634006,0.644261,0.576892,292.081,298.25,298.05,298.525,2,0
2022/06/03,21:00:00,154.8748,1,20.5,12.5159,3.31E-02,0,3.97E-02,78.5011,-58.5382,-24158.8,13989.3,-16784.8,1,1,1,0.634,0.64465,0.576997,291.355,298.25,298.05,298.257,2,0
2022/06/03,22:00:00,154.9165,1,18.09,12.4575,2.91E-02,0,2.91E-02,83.9425,-65.5134,-6656.81,28967.1,10869.5,1,1,1,0.634006,0.644881,0.577,290.257,298.107,297.888,298.063,2,0
2022/06/03,22:30:00,154.9373,1,17.38,12.4431,4.11E-02,0,2.91E-02,87.5613,-58.0932,-5438.86,23319.1,20744.9,1,1,1,0.634,0.645353,0.577,289.696,298.05,297.85,298.048,2,0
2022/06/03,23:00:00,154.9581,1,16.83,12.427,1.72E-02,0,2.25E-02,93.8707,-55.5332,-16669.4,22245.8,-12448.6,1,1,1,0.634,0.64525,0.576933,289.364,298.05,297.837,297.879,2,0
2022/06/03,23:30:00,154.979,1,16.4733,12.4078,1.72E-02,0,3.11E-02,96.8824,-58.9699,-25868.5,20253.8,-9621.8,1,1,1,0.634006,0.64515,0.576117,288.955,298.05,297.566,297.786,2,0
2022/06/04,0:00:00,155,1,16.14,12.3898,3.97E-03,0,2.52E-02,97.596,-55.694,-38800.3,1951.18,-20343.1,1,1,1,0.6341,0.644528,0.575611,288.745,298.044,297.55,297.55,2,0
2022/06/04,0:30:00,155.0208,1,15.84,12.372,1.59E-02,0,1.59E-02,99.9503,-54.325,-10064.1,36199.6,17257.4,1,1,1,0.63545,0.644033,0.576806,288.453,297.881,297.399,297.453,2,0
2022/06/04,1:00:00,155.0416,1,15.6,12.3548,3.05E-02,0,1.72E-02,99.9562,-54.6788,-21914.1,25879.1,-764.49,1,1,1,0.636044,0.644006,0.577972,288.353,297.85,297.35,297.335,2,0
2022/06/04,1:30:00,155.0624,1,15.5,12.338,-3.97E-03,0,-3.97E-03,99.9642,-47.7709,-15882.4,25969.7,28972.6,1,1,1,0.636547,0.644003,0.578003,288.365,297.846,297.144,297.054,2,0
2022/06/04,2:00:00,155.0833,1,15.5,12.3262,-1.32E-03,0,-6.62E-04,99.9614,-43.131,-28492.3,27032.8,1532.31,1,1,1,0.636975,0.644141,0.577372,288.441,297.591,297.05,297,2,0
2022/06/04,2:30:00,155.1041,1,15.69,12.3104,-9.27E-03,0,1.32E-02,99.9603,-42.2777,-35571,-11230,-8598.18,1,1,1,0.637883,0.644778,0.577,288.593,297.55,296.97,296.85,2,0
2022/06/04,3:00:00,155.1249,1,15.8,12.298,2.38E-02,0,4.63E-03,99.9628,-45.9074,-47720,-45422,-26776.4,1,1,1,0.639,0.644986,0.577,288.491,297.539,296.85,296.724,2,0
2022/06/04,3:30:00,155.1458,1,15.79,12.2792,3.18E-02,0,2.52E-02,99.9569,-49.7741,-43595.8,-31886.3,-30730.8,1,1,1,0.638758,0.645,0.577231,288.349,297.356,296.817,296.65,2,0
2022/06/04,4:00:00,155.1666,1,15.51,12.2707,2.91E-02,0,1.72E-02,99.9571,-57.0274,-46454.9,-1081.1,-18014.4,1,1,1,0.638075,0.645,0.579567,288.249,297.35,296.651,296.492,2,0
2022/06/04,4:30:00,155.1874,1,15.23,12.2616,3.31E-02,0,4.63E-02,99.9576,-60.0769,-32301,14861.2,5329.98,1,1,1,0.638839,0.645,0.58,287.956,297.157,296.65,296.408,2,0
2022/06/04,5:00:00,155.2083,1,14.8967,12.2492,4.13066,0,1.62845,99.958,-51.7844,-18122.9,28240.8,19346.8,1,1,1,0.639828,0.645139,0.58,287.908,297.05,296.53,296.15,2,0
2022/06/04,5:30:00,155.2291,1,14.7,12.2551,32.5604,0,14.7348,99.9529,-40.2094,-49014.9,12612.8,-5575.45,1,1,1,0.640286,0.646383,0.580211,287.685,296.966,296.45,296.139,2,0
2022/06/04,7:00:00,155.2916,1,15.1633,12.2729,111.475,0,30.4182,87.7333,-28.1104,-33824.1,37480,26728.2,1,1,1,0.639611,0.647056,0.581,289.731,296.436,296.147,295.917,2,0
2022/06/04,7:30:00,155.3124,1,15.81,12.2774,255.958,0,101.671,79.3947,18.9101,-32766.6,22980,637.999,1,1,1,0.63945,0.647367,0.581,291.333,296.199,295.993,295.75,2,0
2022/06/04,8:00:00,155.3332,1,16.8767,12.293,790.752,0,394.111,69.5836,274.079,-29713.4,31217.1,17252.1,1,1,1,0.639217,0.647989,0.581,293.548,296.39,295.95,295.75,2,0
2022/06/04,8:30:00,155.3541,1,19.4533,12.9116,1143.31,0,579.43,62.6472,421.468,-62611.2,24995.9,-299.535,1,1,1,0.639056,0.648,0.581028,295.472,296.445,295.95,295.75,2,0
2022/06/04,9:30:00,155.3957,1,26.7233,13.62,1486.31,0,754.73,51.7799,553,-50853.8,5159.75,-9249.85,1,1,1,0.639195,0.647961,0.581355,297.724,296.208,295.95,295.75,2,0
2022/06/04,10:00:00,155.4165,1,28.97,13.5608,1625.38,0,826.458,46.3527,606.651,-45079.7,26000.4,619.96,1,1,1,0.639061,0.647955,0.581167,298.482,296.15,295.95,295.75,2,0
2022/06/04,10:30:00,155.4374,1,30.5133,13.5301,1738.14,0,881.622,43.5198,658.74,-31808.6,13580.5,-14850.8,1,1,1,0.639014,0.647989,0.581044,299.414,296.147,295.986,295.851,2,0
2022/06/04,11:00:00,155.4582,1,31.431,13.5138,1823.95,0,925.16,39.9257,670.807,-29110.1,41610.7,17578.9,1,1,1,0.639,0.647977,0.581,299.939,296.03,296.143,295.95,2,0
2022/06/04,11:30:00,155.479,1,31.99,13.4798,1887.99,0,955.396,35.6552,691.893,-15507.1,37769.6,11802.8,1,1,1,0.639114,0.647744,0.580994,300.27,295.95,296.15,296.121,2,0
2022/06/04,12:00:00,155.4999,1,32.2267,13.4698,1963.87,0,996.844,34.0869,747.702,-25900.9,15426.4,-2758.52,1,1,1,0.640717,0.647192,0.580472,300.702,295.95,296.34,296.38,2,0
2022/06/04,12:30:00,155.5207,1,32.74,13.4679,1769.31,0,963.445,35.2969,729.06,-22829.7,26405.5,9190.07,1,1,1,0.641069,0.647011,0.580197,301.036,295.95,296.499,296.668,2,0
2022/06/04,13:00:00,155.5415,1,33.4133,13.4803,1162.26,0,532.5,35.1939,405.915,-28204.3,26769.7,12535.4,1,1,1,0.640947,0.646855,0.580069,300.622,295.95,296.65,296.955,2,0
2022/06/04,13:30:00,155.5624,1,33.5867,13.4841,1489.1,0,757.988,35.3087,462.512,-38829.5,26764.5,7776.3,1,1,1,0.640303,0.645572,0.578483,300.813,295.95,296.818,297.367,2,0
2022/06/04,14:00:00,155.5832,1,34.15,13.4775,1558.41,0,787.244,33.4085,468.222,-25583.8,12901.7,-11947.9,1,1,1,0.639628,0.645164,0.579239,300.966,295.95,296.963,297.737,2,0
2022/06/04,14:30:00,155.604,1,34.42,13.5111,1040.77,0,516.513,35.4734,368.395,-32430.3,22216.6,-7359.57,1,1,1,0.639117,0.645989,0.57795,300.671,295.95,297.123,298.041,2,0
2022/06/04,15:00:00,155.6249,1,35.0633,13.4507,1206.67,0,608.465,33.0752,448.489,-37170.2,27744.7,-3312.01,1,1,1,0.639011,0.645317,0.576989,301.163,295.95,297.35,298.347,2,0
2022/06/04,15:30:00,155.6457,1,34.6933,13.2775,788.151,0,381.13,41.5045,255.485,-24901.8,37890,9727.31,1,1,1,0.639,0.644217,0.577514,299.931,295.983,297.514,298.595,2,0
2022/06/04,16:00:00,155.6665,1,34.8633,13.4943,1382.71,0,710.412,35.5559,524.208,-34651.8,26926.2,-1941.68,1,1,1,0.639,0.644247,0.575608,301.214,296.145,297.55,298.837,2,0
2022/06/04,16:30:00,155.6873,1,35.28,13.1153,301.064,0,125.945,40.1868,52.6005,-40669.8,10639.5,-29733.3,1,1,1,0.639,0.645008,0.575,299.515,296.15,297.55,299.05,2,0
2022/06/04,17:00:00,155.7082,1,33.4867,13.5561,881.524,0,441.732,47.5648,284.607,-10205.4,20815.9,-7491.93,1,1,1,0.639,0.645017,0.575,299.635,296.15,297.578,299.249,2,0
2022/06/04,17:30:00,155.729,1,34.81,13.3451,645.382,0,329.289,43.1618,189.927,-26819.5,17124.5,-8131.43,1,1,1,0.639689,0.645019,0.574883,300.145,296.15,297.567,299.35,2,0
2022/06/04,18:30:00,155.7707,1,31.6667,12.7926,192.07,0,95.5561,51.3642,6.14409,-24140.8,38816.2,23144.6,1,1,1,0.640489,0.64468,0.574819,297.183,296.166,297.55,299.294,2,0
2022/06/04,19:00:00,155.7915,1,29.0533,12.6995,90.4348,0,45.4251,56.5745,-30.6982,-23773.7,32490.8,19239.3,1,1,1,0.64075,0.644028,0.574997,296.16,296.449,297.55,299.062,2,0
2022/06/04,19:30:00,155.8123,1,26.47,12.632,23.1903,0,11.7639,59.5529,-58.007,-10629.5,38979.3,32108.9,1,1,1,0.639167,0.644039,0.575,295.127,296.45,297.55,299.05,2,0
2022/06/04,20:00:00,155.8332,1,24.22,12.5902,1.30888,0,0.963167,62.5661,-66.2888,-26044.3,53665.7,40317.2,1,1,1,0.639011,0.644022,0.574994,294.198,296.446,297.549,298.912,2,0
2022/06/04,20:30:00,155.854,1,22.2533,12.5554,2.12E-02,0,5.56E-02,67.6631,-65.5395,-23017.3,32034,26279.3,1,1,1,0.639011,0.644,0.574072,293.326,296.217,297.42,298.75,2,0
2022/06/04,21:00:00,155.8748,1,20.67,12.5281,3.05E-02,0,4.30E-02,73.4919,-63.7611,-4594.92,42403.4,23856.5,1,1,1,0.639011,0.644,0.574006,292.606,296.15,297.35,298.599,2,0
2022/06/04,21:30:00,155.8956,1,19.37,12.5027,1.46E-02,0,2.32E-02,75.1857,-61.3474,-10444,34070,23443.4,1,1,1,0.639011,0.644,0.575428,291.834,296.15,297.214,298.543,2,0
2022/06/04,22:00:00,155.9165,1,18.3,12.4822,1.85E-02,0,5.10E-02,78.7449,-62.1946,3058.89,34072.5,39932.2,1,1,1,0.639,0.644,0.576961,291.217,296.15,297.05,298.259,2,0
