file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,RSSI_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,air_t_mean,air_p_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,ch4_tc_1_mean,ch4_tc_2_mean,ch4_tc_3_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-06-06T163000_AIU-1200.ghg,2022-06-06,17:00,157.708,1,18000,18000,-0.125987,0,0.200428E-01,25.6648,0,9.74802,336.549,0,56.2848,-7.00530,0,1.69407,7.66831,0,1.28246,0.441842,0,0.601390E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.106108E-09,0.382110E-11,0.525549E-12,-9999,16.4737,405.221,411.221,0.00000,1,593.242,14.5926,14.8087,0.00000,1,0.815938E-01,2.03221,2.06230,-0.100000,0,-9999,-9999,-9999,-9999,9,307.828,300.410,101537.,1.17102,1013.71,0.245980E-01,0.496906,0.106902E-01,1482.08,3609.62,0.912898E-02,41.0592,2127.54,286.001,-1.02032,1.84795,0.332414E-01,2.11118,0.318147E-13,0.644104E-14,2.11118,5.89153,160.774,118.905,0.902182,-9999,0.328006,0.859392,-121.382,-0.345883E-01,0.762588E-01,0.659137E-01,0,29.3596,-4.45543,10.0782,25.0961,38.2732,53.6787,80.4205,-0.124700,1.01032,45.6608,1.01393,308.156,1.07012,-10.5585,1.07012,7.02137,1.07012,0.370750,1.09657,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,12,6,1,18,20,3,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,3,0,0,0,0,31,0,0,0,0,1,17974,17974,17974,17974,-9999,100,0.962383,0.459097,0.297304,0.738693E-01,0.477593E-02,1885.93,0.476479E-05,-9999,0.384646E-01,-0.105585E-01,7.02137,0.370750E-03,-9999,300.106,101326.,405.625,14.6073,12.7309,103.068,2.01930,37.8115,0.409485E-04,0.144248E-05,0.784885E-05,0.687430E-06,9999.99,9999.99,9999.99
2022-06-06T170000_AIU-1200.ghg,2022-06-06,17:30,157.729,1,18000,18000,-0.976795E-01,0,0.235049E-01,5.97134,1,5.77911,277.800,0,43.3185,-4.51295,0,1.38257,6.32712,0,0.986612,0.459544,0,0.628279E-01,-9999,-9999,-9999,-1.82479,4.38312,0.707671E-01,0.998289E-01,0.382861E-02,-9999,-0.802360E-10,-0.302176E-11,-0.402203E-12,-9999,16.5145,405.707,412.002,0.00000,1,621.950,15.2793,15.5164,0.100000,0,0.827830E-01,2.05859,2.09053,0.00000,1,-9999,-9999,-9999,-9999,9,307.497,299.987,101523.,1.17220,1014.09,0.245668E-01,0.409997,0.112075E-01,1551.62,3521.11,0.956110E-02,44.0660,1969.50,286.703,-0.745605,1.25030,0.483093E-01,1.45654,-0.494252E-13,-0.485852E-14,1.45654,5.17976,157.245,120.809,1.90068,-9999,0.288669,0.698889,-355.616,-0.118060E-01,0.214951E-01,0.174017E-01,0,29.5430,-4.48326,10.1411,25.2529,38.5123,54.0140,80.9228,-0.964655E-01,1.01258,22.6998,1.01414,255.874,1.06731,-6.89297,1.06731,5.82773,1.06731,0.396130,1.09492,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800101019,899999999,899999999,89999,89999,89,89,13,8,7,38,39,11,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.821898,0.349672,0.226208,0.429074E-01,0.644645E-02,1464.88,0.581842E-05,-9999,0.190961E-01,-0.689297E-02,5.82773,0.396130E-03,-9999,300.068,101309.,406.646,15.3149,13.4633,103.134,2.04499,46.1970,0.427705E-04,0.652725E-08,0.689321E-05,0.135950E-08,9999.99,9999.99,9999.99
2022-06-06T173000_AIU-1200.ghg,2022-06-06,18:00,157.750,1,18000,18000,-0.458627E-01,1,0.206363E-01,5.51661,1,13.3050,126.397,1,25.7150,-5.05141,1,2.59610,2.87772,1,0.585460,0.368712,1,0.544058E-01,-9999,-9999,-9999,-1.65982,7.53534,0.122598,0.171559,-0.148196E-02,-9999,0.208876E-10,0.845577E-12,0.103961E-12,-9999,16.5698,406.550,413.353,0.00000,1,670.784,16.4580,16.7334,0.100000,0,0.824708E-01,2.04839,2.08267,0.00000,1,-9999,-9999,-9999,-9999,9,306.885,299.602,101522.,1.17317,1014.74,0.245355E-01,0.186476,0.120875E-01,1671.30,3442.37,0.103033E-01,48.5508,1771.07,287.849,-0.572739,1.09219,0.703323E-01,1.23525,0.446519E-13,0.126058E-14,1.23525,4.33220,162.962,117.672,3.26404,-9999,0.197720,0.616826,-123.712,-0.339370E-01,0.436451E-01,0.234373E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.452280E-01,1.01403,13.0683,1.01471,116.072,1.06710,-6.07051,1.06710,2.64265,1.06710,0.323432,1.09514,-9999,-9999,800000009,800000009,800000009,800000009,800101009,800101019,899999999,899999999,89999,89999,89,89,17,3,11,36,42,13,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.714524,0.345089,0.174040,0.172243,0.138858E-01,914.403,0.652435E-05,-9999,0.109775E-01,-0.607051E-02,2.64265,0.323432E-03,-9999,300.948,101308.,409.211,16.5653,14.6849,103.181,2.03396,44.0275,0.488401E-04,0.202895E-05,0.115713E-04,0.818264E-06,9999.99,9999.99,9999.99
2022-06-06T180000_AIU-1200.ghg,2022-06-06,18:30,157.771,1,18000,18000,-0.578972E-01,0,0.103557E-01,-26.5215,0,11.6656,98.7264,0,19.5394,1.87763,0,1.93721,2.24597,0,0.444511,0.350799,0,0.489233E-01,-9999,-9999,-9999,-3.47796,8.18158,0.120305,0.186127,-0.309046E-02,-9999,0.225790E-10,0.982891E-12,0.111026E-12,-9999,16.6480,407.374,414.729,0.00000,1,724.707,17.7334,18.0536,0.100000,0,0.818617E-01,2.02718,2.06377,0.00000,1,-9999,-9999,-9999,-9999,9,305.814,298.799,101522.,1.17575,1015.44,0.244698E-01,0.145539,0.130592E-01,1800.81,3282.79,0.111071E-01,54.8562,1481.98,289.011,-0.641541,0.988360,0.191290E-01,1.17847,-0.842979E-14,0.135626E-14,1.17847,5.30557,153.499,122.987,0.930071,-9999,0.221907,0.548943,36.3861,0.115385,-0.268636,-0.100105,0,27.5966,-4.18789,9.47301,23.5891,35.9749,50.4554,75.5913,-0.573759E-01,1.00909,-20.3675,1.01463,90.6717,1.09564,2.00814,1.09564,2.06274,1.09564,0.305574,1.13950,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800101019,899999999,899999999,89999,89999,89,89,25,6,7,20,65,14,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.655627,0.283203,0.159056,0.207687,0.101820E-01,472.249,0.584977E-05,-9999,-0.170597E-01,0.200814E-02,2.06274,0.305574E-03,-9999,298.012,101307.,407.128,17.7220,15.7430,103.225,2.01157,32.4536,0.306418E-04,0.575613E-05,0.962161E-05,0.258148E-05,9999.99,9999.99,9999.99
2022-06-06T183000_AIU-1200.ghg,2022-06-06,19:00,157.792,1,18000,18000,-0.486619E-01,1,0.866857E-02,-23.3797,1,8.43019,55.9342,1,12.3138,0.712022,1,3.85644,1.26980,1,0.279544,0.321438,1,0.425796E-01,-9999,-9999,-9999,-9.46025,4.81133,0.603109,0.109225,0.861302E-03,-9999,-0.954008E-10,-0.428379E-11,-0.466800E-12,-9999,16.9348,411.478,419.223,0.200000,0,760.424,18.4766,18.8244,0.00000,1,0.828627E-01,2.03305,2.07132,0.00000,1,-9999,-9999,-9999,-9999,9,304.078,296.631,101499.,1.18374,1015.81,0.242977E-01,0.822828E-01,0.137028E-01,1875.85,2883.59,0.115759E-01,65.0526,1007.74,289.652,-0.688472,1.09735,0.227416E-01,1.29564,-0.205375E-14,-0.563342E-14,1.29564,4.83038,155.707,122.104,1.00573,-9999,0.202753,0.577054,31.4805,0.133365,-0.417986,-0.958972E-01,0,25.3749,-3.85074,8.71037,21.6901,33.0787,46.3934,69.5057,-0.482177E-01,1.00921,-19.7989,1.01578,51.7446,1.10342,1.17767,1.10342,1.17469,1.10342,0.279800,1.14995,-9999,-9999,800000009,800000009,800000009,800000009,800001009,800101019,899999999,899999999,89999,89999,89,89,7,3,3,13,35,8,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.667906,0.322440,0.163762,0.245290,0.108410,265.478,0.578071E-05,-9999,-0.164655E-01,0.117767E-02,1.17469,0.279800E-03,-9999,295.924,101284.,411.333,18.4702,16.3901,103.250,2.01662,46.8892,0.475798E-04,0.275345E-04,0.405396E-04,0.120883E-04,9999.99,9999.99,9999.99
2022-06-06T190000_AIU-1200.ghg,2022-06-06,19:30,157.812,1,18000,18000,-0.820460E-01,0,0.140210E-01,-67.2476,0,10.6831,81.9543,0,13.0991,12.2629,0,4.41741,1.85867,0,0.297078,0.391614,0,0.497122E-01,-9999,-9999,-9999,-4.45022,2.86441,-0.287482E-02,0.649630E-01,0.424363E-02,-9999,-0.262471E-10,-0.120673E-11,-0.130358E-12,-9999,16.9937,411.458,419.392,0.100000,0,781.296,18.9170,19.2818,0.00000,1,0.844004E-01,2.06187,2.10163,0.00000,1,-9999,-9999,-9999,-9999,9,303.188,295.614,101507.,1.18772,1016.02,0.242124E-01,0.120442,0.140789E-01,1920.73,2711.55,0.118538E-01,70.8353,790.814,290.024,-0.959277,1.35062,-0.946931E-02,1.65665,-0.155812E-14,-0.154452E-14,1.65665,5.68076,151.893,125.384,-0.327501,-9999,0.262829,0.652690,23.8437,0.176080,-0.820550,-0.212025,0,29.8608,-4.53149,10.2502,25.5246,38.9266,54.5951,81.7934,-0.812383E-01,1.00994,-61.4018,1.01877,77.5372,1.12072,13.1178,1.12072,1.75849,1.12072,0.344237,1.17182,-9999,-9999,800000009,800000009,800000009,800000009,800001019,800101019,899999999,899999999,89999,89999,89,89,23,5,3,19,70,10,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,16,18000,18000,18000,18000,-9999,100,0.793972,0.328358,0.183050,0.176571,0.459952E-01,191.485,0.655539E-05,-9999,-0.508819E-01,0.131178E-01,1.75849,0.344237E-03,-9999,294.783,101293.,411.140,18.9023,16.7560,103.249,2.04513,45.3788,0.810283E-04,0.492926E-04,0.796238E-04,0.212305E-04,9999.99,9999.99,9999.99
2022-06-06T193000_AIU-1200.ghg,2022-06-06,20:00,157.833,0,18000,18000,-0.515308E-01,0,0.126178E-01,-22.2264,0,6.87226,7.31543,1,4.02192,5.91489,1,3.44476,0.165750,1,0.911269E-01,0.230741,0,0.445400E-01,-9999,-9999,-9999,-4.35348,3.15083,0.806126,0.713901E-01,-0.183400E-02,-9999,0.908199E-10,0.422601E-11,0.442652E-12,-9999,17.2846,416.903,425.150,0.300000,0,804.284,19.3992,19.7830,0.500000,0,0.842443E-01,2.04946,2.09001,0.300000,0,-9999,-9999,-9999,-9999,9,302.214,294.623,101555.,1.19205,1016.28,0.241198E-01,0.107406E-01,0.144932E-01,1970.62,2552.59,0.121582E-01,77.2008,581.970,290.429,-0.458169,0.347190,0.969377E-02,0.574937,0.443979E-13,0.525438E-14,0.574937,3.31922,120.603,142.846,0.966085,-9999,0.207915,0.390405,35.7268,0.117514,-3.03829,-0.882419E-01,0,34.2784,-5.20188,11.7667,29.3006,44.6853,62.6718,93.8938,-0.509146E-01,1.01210,-21.4654,1.01595,8.52475,1.10079,6.28831,1.10079,0.193150,1.10079,0.204563,1.14922,-9999,-9999,800000009,800000009,800000009,800000009,800000019,800000119,899999999,899999999,89999,89999,89,89,4,3,1,4,0,5,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.427623,0.272227,0.809596E-01,0.140147,0.502607E-01,67.3928,0.872423E-05,-9999,-0.177187E-01,0.628831E-02,0.193150,0.204563E-03,-9999,293.619,101341.,416.331,19.3727,17.1523,103.229,2.03220,45.4222,0.105417E-03,0.546711E-04,0.103503E-03,0.224183E-04,9999.99,9999.99,9999.99
2022-06-06T200000_AIU-1200.ghg,2022-06-06,20:30,157.854,0,18000,18000,0.116310E-01,1,0.220380E-02,-5.98555,1,4.06298,2.63737,1,2.09869,1.50102,0,1.63524,0.597025E-01,1,0.475081E-01,0.355195E-01,1,0.208869E-01,-9999,-9999,-9999,-4.13739,1.27084,0.753856,0.287680E-01,-0.653517E-02,-9999,0.460511E-10,0.213821E-11,0.217046E-12,-9999,17.5616,421.975,430.408,0.00000,1,815.406,19.5928,19.9843,0.00000,1,0.827705E-01,2.00541,2.04549,-0.200000,0,-9999,-9999,-9999,-9999,9,301.257,293.686,101618.,1.19651,1016.37,0.240283E-01,0.386872E-02,0.146936E-01,1991.51,2409.67,0.122804E-01,82.6466,418.160,290.595,-0.230341,-0.110749,-0.916040E-03,0.255584,0.669589E-14,0.262226E-14,0.255584,2.37543,66.1335,205.679,-0.205355,-9999,0.985942E-01,0.872426E-01,14.1532,0.296639,-2.26951,-0.499210E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.114204E-01,1.01844,-5.70443,1.02388,2.78244,1.14625,1.54429,1.14625,0.629862E-01,1.14625,0.303086E-01,1.21573,-9999,-9999,800000009,800000009,800000009,800000009,801100119,801100119,899999999,899999999,89999,89999,89,89,3,17,1,28,1,11,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,3,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.403174E-01,0.119908,0.142604E-01,0.129308,0.327429E-01,28.6724,0.687300E-05,-9999,-0.469077E-02,0.154429E-02,0.629862E-01,0.303086E-04,-9999,292.648,101404.,421.343,19.5634,17.3175,103.242,1.98810,48.3633,0.115965E-03,0.573752E-04,0.114341E-03,0.233162E-04,9999.99,9999.99,9999.99
2022-06-06T203000_AIU-1200.ghg,2022-06-06,21:00,157.875,0,18000,18000,0.547898E-02,1,0.111155E-02,-0.622537,2,2.03296,-0.283982,2,0.492353,-0.215555,2,0.627166,-0.642296E-02,2,0.111358E-01,-0.401731E-02,2,0.246884E-02,-9999,-9999,-9999,-3.95171,0.437909E-01,0.459078,0.990442E-03,-0.125605E-02,-9999,0.137851E-10,0.635637E-12,0.642567E-13,-9999,17.7523,425.053,433.550,0.00000,1,818.566,19.5994,19.9912,0.00000,1,0.827490E-01,1.99697,2.03689,0.00000,1,-9999,-9999,-9999,-9999,9,300.237,292.793,101667.,1.20074,1016.36,0.239436E-01,-0.416208E-03,0.147506E-01,1993.15,2280.20,0.122846E-01,87.4115,287.043,290.609,-0.211695,-0.369706,0.359506E-01,0.427539,-0.104272E-13,0.776525E-15,0.427539,1.09563,42.0445,240.204,4.82354,-9999,0.675501E-01,0.390555E-01,43.7787,0.959006E-01,2.19217,-0.755169E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.540112E-02,1.01442,-0.628851,1.01645,-0.196245,1.09740,-0.165751,1.09740,-0.443858E-02,1.09740,-0.330529E-02,1.14419,-9999,-9999,800000009,800000009,800000009,800000009,800000109,800000109,899999999,899999999,89999,89999,89,89,0,1,0,11,4,14,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,21,18000,18000,18000,18000,-9999,100,0.309609E-01,0.424488E-01,0.470163E-02,0.106455,0.168608E-01,4.43991,0.461932E-06,-9999,-0.515292E-03,-0.165751E-03,-0.443858E-02,-0.330529E-05,-9999,291.974,101453.,424.729,19.5845,17.3425,103.278,1.97976,47.7130,0.133075E-03,0.590956E-04,0.131686E-03,0.220393E-04,9999.99,9999.99,9999.99
