date,time,DOY,LOGGERPOWER_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SHFSENS1_1_1_1,SHFSENS2_2_1_1,SHFSENS3_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,VERSION_1_1_1,
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[OTHER],[OTHER],[OTHER],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[OTHER],
2022/06/29,12:00:00,180.4999,1,32.2783,13.2858,1939.01,0,966.023,50.4575,724.546,-23699,36029.2,13181.5,1,1,1,0.640964,0.644446,0.591033,300.54,295.681,295.644,296.643,2,
2022/06/29,12:30:00,180.5207,1,32.66,13.3164,1729.18,0,851.55,50.6409,647.489,-11083.3,31482.1,13361,1,1,1,0.640886,0.64353,0.590147,300.712,295.75,295.781,296.952,2,
2022/06/29,13:00:00,180.5415,1,33.22,13.3285,1879.69,0,899.493,52.0398,621.673,-17669.2,19831.7,-4295.79,1,1,1,0.639567,0.64395,0.589228,301.042,295.75,295.978,297.432,2,
2022/06/29,13:30:00,180.5624,1,34.07,13.3244,1622.02,0,794.651,54.2507,565.984,-28194.7,21288.3,-12020.5,1,1,1,0.639011,0.642681,0.588,301.117,295.793,296.233,297.929,2,
2022/06/29,14:00:00,180.5832,1,34.58,13.3393,1039.84,0,505.024,57.449,354.933,-38078.4,11046,605.731,1,1,1,0.639378,0.642961,0.586575,300.935,295.949,296.544,298.377,2,
2022/06/29,14:30:00,180.604,1,34.26,13.3745,1379.88,0,684.35,60.0066,488.303,-32775.7,25193.2,-1655.82,1,1,1,0.640028,0.643,0.586564,300.863,295.95,296.773,298.804,2,
2022/06/29,15:00:00,180.6249,1,34.7,13.3512,872.378,0,412.066,59.2746,296.893,-36141.8,25362,2901.92,1,1,1,0.640045,0.642175,0.58625,301.036,296.088,297.002,299.231,2,
2022/06/29,15:30:00,180.6457,1,34.33,13.3906,915.442,0,441.033,58.9017,316.707,-27467.4,19102.1,12275.9,1,1,1,0.64,0.640017,0.584917,301.08,296.15,297.284,299.539,2,
2022/06/29,16:00:00,180.6665,1,34.78,13.3328,1169.77,0,569.716,57.4063,404.16,-31757.7,28893.2,17080.9,1,1,1,0.64,0.640189,0.584242,301.408,296.158,297.49,299.822,2,
2022/06/29,16:30:00,180.6873,1,35.4,13.1181,755.507,0,359.704,58.6909,239.772,-49642.8,36536,-16944.1,1,1,1,0.64,0.640517,0.583911,301.262,296.293,297.557,299.922,2,
2022/06/29,17:00:00,180.7082,1,34.8667,13.2168,740.969,0,358.286,58.7843,231.043,-28583.3,20100.3,-2193,1,1,1,0.639958,0.641158,0.582406,301.116,296.433,297.827,300.05,2,
2022/06/29,17:30:00,180.729,1,34.45,12.8314,448.993,0,202.284,60.8839,108.591,-21694.3,29845,16304.6,1,1,1,0.639908,0.640661,0.581997,300.802,296.45,297.85,300.05,2,
2022/06/29,18:00:00,180.7498,1,33.4567,12.6738,452.909,0,220.046,61.2202,105.514,-22879.4,24639.7,-9842.29,1,1,1,0.64,0.6405,0.581908,300.714,296.45,297.876,300.05,2,
2022/06/29,18:30:00,180.7707,1,33.23,12.5369,322.282,0,163.591,61.2696,55.5365,-34375.5,27367.3,3329.03,1,1,1,0.639981,0.638983,0.581855,300.419,296.45,298.03,300.05,2,
2022/06/29,19:00:00,180.7915,1,32.0367,12.4676,108.346,0,43.1876,63.3375,-21.3505,-27064.8,19771.7,-7981.63,1,1,1,0.639967,0.638492,0.581881,299.977,296.45,298.05,299.937,2,
2022/06/29,19:30:00,180.8123,1,30.0067,12.4167,37.0541,0,13.9437,66.8885,-43.848,-26784.3,25706,-10184.2,1,1,1,0.639678,0.639822,0.581983,299.374,296.45,298.05,299.85,2,
2022/06/29,20:00:00,180.8332,1,28.15,12.3678,4.22207,0,1.89456,75.4209,-50.6229,-20610.5,15470.7,-2339.06,1,1,1,0.639772,0.639022,0.5818,297.891,296.45,298.05,299.831,2,
2022/06/29,20:30:00,180.854,1,26.4267,12.3383,5.83E-02,0,5.83E-02,76.2294,-49.0387,-22833.8,24310.6,-1599.35,1,1,1,0.639778,0.638508,0.582714,297.65,296.45,298.046,299.551,2,
2022/06/29,21:00:00,180.8748,1,25.15,12.3066,2.52E-02,0,3.05E-02,82.5516,-48.5019,-27625.4,33642.6,7880.98,1,1,1,0.639525,0.638642,0.583,296.599,296.45,297.883,299.517,2,
2022/06/29,21:30:00,180.8956,1,24.24,12.2835,2.52E-02,0,1.79E-02,80.5937,-49.3324,-26674.3,38419,16771.7,1,1,1,0.639031,0.639036,0.583,296.746,296.45,297.85,299.35,2,
2022/06/29,22:00:00,180.9165,1,23.5833,12.2597,1.46E-02,0,9.93E-03,90.4838,-47.6374,-23404.3,40105.2,24652.6,1,1,1,0.6388,0.639069,0.583139,295.643,296.45,297.85,299.106,2,
2022/06/29,22:30:00,180.9373,1,22.95,12.2362,1.59E-02,0,2.65E-02,94.4909,-45.1553,-28033,45774.5,27951.1,1,1,1,0.639011,0.639481,0.583897,295.189,296.45,297.761,298.998,2,
2022/06/29,23:00:00,180.9581,1,22.39,12.2165,1.99E-02,0,-1.99E-03,88.442,-46.2111,-28246.2,18769.9,-12954.5,1,1,1,0.64,0.63962,0.584033,295.702,296.433,297.55,298.75,2,
2022/06/29,23:30:00,180.979,1,22.37,12.2021,2.52E-02,0,-5.96E-03,89.7812,-46.7529,-31705,40095.5,18410.7,1,1,1,0.64,0.639045,0.585206,295.614,296.227,297.55,298.588,2,
2022/06/30,0:00:00,181,1,22.21,12.185,4.24E-02,0,1.72E-02,91.1159,-45.8223,-11067,33989.5,13257.6,1,1,1,0.64,0.639356,0.585247,295.45,296.154,297.409,298.522,2,
2022/06/30,0:30:00,181.0208,1,22.27,12.1742,2.65E-02,0,-2.65E-03,88.1109,-44.8137,-25056.6,20471.2,20945.5,1,1,1,0.64,0.639783,0.585856,295.636,296.15,297.35,298.253,2,
2022/06/30,1:00:00,181.0416,1,22.22,12.1547,5.30E-03,0,4.63E-03,90.0404,-44.8493,-12838.4,35356.4,25787,1,1,1,0.64,0.640028,0.585127,295.568,296.15,297.274,298.142,2,
2022/06/30,1:30:00,181.0624,1,22.42,12.1387,6.62E-03,0,2.65E-03,90.744,-46.4414,-31093.4,24624.2,11923.2,1,1,1,0.64,0.640025,0.585014,295.644,296.15,297.05,298.05,2,
2022/06/30,2:00:00,181.0833,1,22.51,12.1243,2.91E-02,0,-1.99E-03,93.3426,-45.113,-19194.2,38350,21366.2,1,1,1,0.64,0.640014,0.584464,295.615,296.15,297.05,297.906,2,
2022/06/30,2:30:00,181.1041,1,22.77,12.1139,3.05E-02,0,7.94E-03,98.5951,-39.1903,-11993.3,57782.2,41228.1,1,1,1,0.64,0.639306,0.584056,295.438,296.15,297.004,297.85,2,
2022/06/30,3:00:00,181.1249,1,22.8,12.0999,3.97E-03,0,1.32E-02,99.9794,-44.115,-26851.7,44007.3,21059.5,1,1,1,0.64,0.639,0.585345,295.228,296.15,296.852,297.576,2,
2022/06/30,3:30:00,181.1458,1,22.78,12.0863,2.25E-02,0,4.63E-03,99.9783,-46.4369,-9659.38,37188.6,31148.8,1,1,1,0.64,0.639,0.586836,294.928,296.15,296.85,297.55,2,
2022/06/30,4:00:00,181.1666,1,22.58,12.0707,4.11E-02,0,1.52E-02,99.977,-44.8338,-5133.28,41497.8,13230.7,1,1,1,0.64,0.639,0.587,294.737,296.149,296.849,297.419,2,
2022/06/30,4:30:00,181.1874,1,22.5,12.0459,6.23E-02,0,3.44E-02,99.9755,-33.5091,-17420.6,32080,11255.4,1,1,1,0.64,0.639,0.587,294.677,296.08,296.685,297.35,2,
2022/06/30,5:00:00,181.2083,1,22.49,12.0298,4.46848,0,1.72774,99.9763,-38.0778,-15901.8,47759.7,20407.7,1,1,1,0.64,0.639,0.587,294.595,295.989,296.65,297.22,2,
2022/06/30,5:30:00,181.2291,1,22.44,12.0245,35.1504,0,11.3621,99.9762,-32.7675,-18738.6,43995.1,19970.3,1,1,1,0.64,0.639,0.587,294.608,295.955,296.65,297.05,2,
2022/06/30,6:00:00,181.2499,1,22.49,12.0281,87.9547,0,26.868,99.9753,-16.4269,-22842.5,47892.2,32697.7,1,1,1,0.64,0.639,0.587,294.678,295.951,296.65,297.05,2,
2022/06/30,6:30:00,181.2707,1,22.65,12.0301,131.735,0,37.075,99.9781,-3.61024,3453.91,48458.1,38032.1,1,1,1,0.64,0.639006,0.587,295.268,295.957,296.571,297.003,2,
2022/06/30,7:00:00,181.2916,1,23.13,12.0372,171.75,0,47.5725,99.9835,7.93308,-7428.64,43695,24857.4,1,1,1,0.64,0.639017,0.587203,295.74,295.95,296.453,296.85,2,
2022/06/30,7:30:00,181.3124,1,23.66,12.0476,293.631,0,111.903,97.1946,74.5446,-9779.54,36532.6,32167.2,1,1,1,0.64,0.639119,0.588075,296.519,295.95,296.45,296.85,2,
2022/06/30,8:00:00,181.3332,1,24.65,12.0529,731.8,0,351.122,85.9253,266.497,-28865.9,21188.3,-10874.6,1,1,1,0.64,0.638506,0.589267,297.928,295.95,296.45,296.85,2,
2022/06/30,8:30:00,181.3541,1,26.5567,12.4484,1065.86,0,526.834,78.0718,393.133,-24854.9,8225.57,-20539,1,1,1,0.64,0.638469,0.589867,299.228,295.953,296.45,296.85,2,
2022/06/30,9:00:00,181.3749,1,29.57,12.9454,1241.91,0,612.176,74.5606,454.484,-25909.5,22806.8,-323.159,1,1,1,0.64,0.639072,0.589944,300.206,296.064,296.45,296.85,2,
2022/06/30,9:30:00,181.3957,1,31.9733,13.2026,1398.83,0,690.449,74.5961,513.215,-17627.1,21101.5,-7019.35,1,1,1,0.64,0.639822,0.589667,300.464,296.15,296.456,296.87,2,
2022/06/30,10:00:00,181.4165,1,33.4267,13.2615,1533.51,0,760.163,71.7386,564.503,-22227,30513.8,6199.62,1,1,1,0.64,0.64295,0.588208,300.959,296.15,296.611,297.049,2,
2022/06/30,10:30:00,181.4374,1,34.43,13.2373,1663.71,0,824.716,69.4098,614.732,-34117,15576.8,-11800.4,1,1,1,0.639844,0.642286,0.587061,301.539,296.15,296.65,297.239,2,
2022/06/30,11:00:00,181.4582,1,35.0267,13.1995,1758.43,0,876.154,66.4737,656.588,-29137.2,-14449.8,-36852.2,1,1,1,0.638906,0.640878,0.587147,302.239,296.278,296.667,297.491,2,
2022/06/30,11:30:00,181.479,1,35.58,13.2049,1842.84,0,912.673,65.3505,713.311,-24309.1,16541.7,-2207.52,1,1,1,0.637156,0.639056,0.587933,302.397,296.45,296.849,297.865,2,
2022/06/30,12:00:00,181.4999,1,36.1133,13.2065,1915.64,0,952.741,61.8042,749.924,-21271.4,23330.1,2817.76,1,1,1,0.637072,0.639364,0.585694,303.052,296.454,296.982,298.189,2,
2022/06/30,12:30:00,181.5207,1,36.8,13.1848,1903.22,0,952.001,61.2481,751.948,-27568.2,7774.98,-10538.8,1,1,1,0.637,0.640042,0.585933,303.39,296.633,297.172,298.629,2,
2022/06/30,13:00:00,181.5415,1,37.38,12.8823,1837.16,0,892.075,60.7632,731.428,-28087.5,24990.2,1872.79,1,1,1,0.637,0.640355,0.585033,303.574,296.65,297.461,299.118,2,
2022/06/30,13:30:00,181.5624,1,38.0233,12.5732,1924.95,0,949.608,58.9553,723.708,-23513.4,21259.7,-3010.07,1,1,1,0.63705,0.6402,0.583764,303.818,296.746,297.727,299.625,2,
2022/06/30,14:00:00,181.5832,1,38.48,12.6189,975.765,0,458.945,57.5222,340.471,-28200,11534.3,5006.97,1,1,1,0.6372,0.639639,0.582278,303.66,296.85,298.03,300.118,2,
2022/06/30,14:30:00,181.604,1,38.05,12.6176,1680.38,0,854.107,55.2056,652.809,-34950.6,19956.4,-718.873,1,1,1,0.638231,0.638972,0.581731,304.25,297.01,298.336,300.659,2,
2022/06/30,15:00:00,181.6249,1,38.3967,12.6247,319.445,0,155.257,60.8391,108.491,-37897.9,11999.6,13603.2,1,1,1,0.638819,0.639358,0.580128,302.929,297.05,298.597,301.059,2,
2022/06/30,15:30:00,181.6457,1,36.1467,12.8409,303.449,0,149.294,68.8861,100.987,-29012.7,28610.1,11612.4,1,1,1,0.638169,0.638811,0.579928,301.4,297.151,298.793,301.313,2,
2022/06/30,16:00:00,181.6665,1,34.58,13.3643,599.433,0,280.808,69.6085,201.358,-32386.1,17772.2,-348.823,1,1,1,0.637233,0.638711,0.578031,301.371,297.35,299.05,301.471,2,
2022/06/30,16:30:00,181.6873,1,34.41,13.3082,874.884,0,426.523,67.7569,311.312,-33148.5,13597.6,-16718.6,1,1,1,0.637933,0.638522,0.577,302.235,297.35,299.05,301.718,2,
2022/06/30,17:00:00,181.7082,1,36.3467,13.2317,867.63,0,434.611,62.6722,307.985,-22339.6,26602.9,-3085.94,1,1,1,0.637917,0.636675,0.577,303.408,297.374,299.21,301.624,2,
