file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,RSSI_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,air_t_mean,air_p_mean,u_mean,v_mean,w_mean,ts_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,ch4_tc_1_mean,ch4_tc_2_mean,ch4_tc_3_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022-06-29T120000_AIU-1200.ghg,2022/06/29,12:30:00,180.521,1,18000,18000,-0.112919,0,1.42E-02,72.784,0,7.83711,416.374,0,34.086,-14.1306,0,2.12316,9.50533,0,0.778144,0.400741,0,2.83E-02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.77E-11,-2.42E-12,-2.48E-13,-9999,16.0253,393.631,402.955,0,1,815.002,20.019,20.428,0,1,8.34E-02,2.09836,2.14806,-0.1,0,-9999,-9999,-9999,-9999,9,310.938,302.377,102347,1.17026,1016.82,2.46E-02,0.615945,1.47E-02,2049.43,4046.99,1.25E-02,50.6409,1997.56,291.05,-1.19294,2.34371,-3.57E-02,2.63009,-2.52E-14,-2.97E-15,2.63009,5.75748,163.251,116.976,-0.778007,-9999,0.310628,0.73502,-36.5954,-0.114725,0.174804,0.196911,0,35.2224,-5.34514,12.0907,30.1076,45.916,64.3978,96.4796,-0.111845,1.0096,97.1244,1.01457,373.329,1.07362,-19.6666,1.07362,8.52267,1.07362,0.310082,1.09924,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,1,1,13,4,3,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,0.791922,0.508858,0.169261,0.260551,2.67E-02,3583.49,3.58E-06,-9999,8.16E-02,-1.97E-02,8.52267,3.10E-04,-9999,302.404,102132,4.34E-04,6.94E-03,-5.02E-03,4.96E-04,394.469,23.1863,20.1208,102.984,2.08024,81.6173,9.78E-05,0,4.11E-05,0,9999.99,9999.99,9999.99
2022-06-29T123000_AIU-1200.ghg,2022/06/29,13:00:00,180.542,1,18000,18000,-6.37E-02,0,1.87E-02,86.8433,0,12.0271,472.178,0,43.9695,-17.3918,0,2.29892,10.7845,0,1.00426,0.405275,0,3.42E-02,-9999,-9999,-9999,2.13328,7.33688,0.115733,0.167573,-1.47E-03,-9999,-3.74E-10,-2.01E-11,-1.93E-12,-9999,16.0263,394.429,403.956,0,1,860.333,21.1739,21.6319,0,1,8.27E-02,2.08821,2.13865,0,1,-9999,-9999,-9999,-9999,9,311.519,302.872,102314,1.16746,1017.48,2.46E-02,0.698836,1.55E-02,2166.97,4164.06,1.33E-02,52.0398,1997.09,291.939,-0.930602,1.8486,-3.88E-02,2.06999,-9.26E-14,-2.34E-14,2.06999,5.63937,167.418,116.721,-1.07375,-9999,0.233639,1.05337,-13.0506,-0.321701,0.183921,0.312912,0,26.3128,-3.99307,9.03234,22.4918,34.3014,48.1082,72.0749,-6.31E-02,1.01041,114.605,1.0139,423.494,1.06988,-23.8484,1.06988,9.67255,1.06988,0.307646,1.0964,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,2,1,0,16,3,2,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.24986,0.658518,0.198356,0.362552,1.53E-02,2844.49,3.24E-06,-9999,9.65E-02,-2.38E-02,9.67255,3.08E-04,-9999,302.935,102098,4.32E-04,6.95E-03,-5.04E-03,4.93E-04,395.32,23.6379,20.4344,103.795,2.06916,81.5272,9.86E-05,1.31E-08,4.44E-05,1.31E-08,9999.99,9999.99,9999.99
2022-06-29T130000_AIU-1200.ghg,2022/06/29,13:30:00,180.562,1,18000,18000,-0.127367,0,1.81E-02,70.1644,0,9.09786,416.019,0,30.4283,-15.2602,0,1.60199,9.50091,0,0.694912,0.39272,0,2.62E-02,-9999,-9999,-9999,-0.421437,4.97936,-0.120788,0.113717,-4.10E-04,-9999,-1.96E-11,-1.09E-12,-1.01E-13,-9999,15.9919,393.596,403.511,0,1,892.142,21.9577,22.4506,0,1,8.26E-02,2.08538,2.13791,-0.1,0,-9999,-9999,-9999,-9999,9,311.452,302.774,102277,1.16706,1017.93,2.46E-02,0.615659,1.61E-02,2246.36,4140.7,1.38E-02,54.2507,1894.35,292.516,-1.5113,2.29336,-1.31E-02,2.74658,5.29E-14,-1.23E-15,2.74658,6.36937,157.555,123.384,-0.273781,-9999,0.330355,1.04803,-45.6567,-9.20E-02,0.168657,0.178783,0,33.0741,-5.01912,11.3533,28.2712,43.1154,60.47,90.5951,-0.126167,1.00951,94.5322,1.01477,371.577,1.07451,-20.5861,1.07451,8.48595,1.07451,0.303651,1.09995,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,0,3,2,15,11,2,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.13785,0.734132,0.22408,0.308194,1.10E-02,1910.82,2.58E-06,-9999,7.96E-02,-2.06E-02,8.48595,3.04E-04,-9999,302.664,102062,4.29E-04,6.95E-03,-5.05E-03,4.90E-04,394.255,24.6107,21.0905,103.924,2.06565,81.4255,1.12E-04,0,5.37E-05,0,9999.99,9999.99,9999.99
2022-06-29T133000_AIU-1200.ghg,2022/06/29,14:00:00,180.583,1,18000,18000,-0.134962,0,1.68E-02,26.0807,0,9.36429,339.448,0,24.6621,-13.2609,0,1.33311,7.74815,0,0.562929,0.360232,0,2.39E-02,-9999,-9999,-9999,-2.32948,3.74023,-0.187224,8.54E-02,3.41E-05,-9999,1.83E-10,1.05E-11,9.48E-13,-9999,15.9642,392.308,402.61,0,1,917.432,22.5451,23.0652,0,1,8.28E-02,2.08562,2.14038,-0.1,0,-9999,-9999,-9999,-9999,9,311.095,302.235,102253,1.16861,1018.24,2.46E-02,0.50208,1.65E-02,2305.92,4013.86,1.41E-02,57.449,1707.94,292.938,-1.59266,2.75749,1.23E-02,3.1844,7.74E-14,1.15E-14,3.1844,7.41817,160.618,120.01,0.221102,-9999,0.339837,1.08348,-133.702,-3.14E-02,7.68E-02,6.45E-02,0,33.3103,-5.05497,11.4344,28.4732,43.4234,60.9019,91.2421,-0.133713,1.00934,46.2844,1.01565,305.068,1.07805,-16.1948,1.07805,6.96338,1.07805,0.291061,1.10285,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,1,2,1,5,3,1,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.0745,0.859477,0.232986,0.292297,8.24E-03,1424.13,2.76E-06,-9999,3.89E-02,-1.62E-02,6.96338,2.91E-04,-9999,301.889,102039,4.32E-04,6.96E-03,-5.05E-03,4.94E-04,392.656,25.6094,21.7423,103.919,2.06533,81.232,1.12E-04,0,5.49E-05,0,9999.99,9999.99,9999.99
2022-06-29T140000_AIU-1200.ghg,2022/06/29,14:30:00,180.604,1,18000,18000,-0.103921,1,1.46E-02,48.6754,0,10.5904,374.806,0,30.303,-15.4942,0,1.77329,8.5568,0,0.691816,0.443768,0,3.44E-02,-9999,-9999,-9999,0.826468,8.09465,-0.353058,0.1848,6.99E-04,-9999,-2.49E-10,-1.52E-11,-1.30E-12,-9999,15.8504,389.876,400.49,0,1,968.32,23.818,24.3992,0,1,8.29E-02,2.09044,2.14735,-0.1,0,-9999,-9999,-9999,-9999,9,311.347,302.426,102222,1.16695,1018.97,2.46E-02,0.554481,1.74E-02,2435.37,4058.5,1.50E-02,60.0066,1623.13,293.821,-1.36,2.57716,-2.99E-02,2.91415,-4.32E-14,-1.57E-14,2.91415,7.68156,163.43,117.821,-0.58765,-9999,0.298418,1.08637,-48.5086,-8.65E-02,0.129868,0.137173,0,28.3426,-4.3011,9.7291,24.2268,36.9474,51.8193,77.6348,-0.102951,1.00942,70.7742,1.01508,334.753,1.07583,-19.4979,1.07583,7.64238,1.07583,0.356966,1.10101,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,12,3,0,14,5,1,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.19205,0.711673,0.269001,0.317652,1.05E-02,1460.62,3.42E-06,-9999,5.95E-02,-1.95E-02,7.64238,3.57E-04,-9999,302.325,102008,4.34E-04,6.95E-03,-5.03E-03,4.96E-04,390.537,26.5467,22.3264,103.877,2.06896,80.8868,1.02E-04,0,4.47E-05,0,9999.99,9999.99,9999.99
2022-06-29T143000_AIU-1200.ghg,2022/06/29,15:00:00,180.625,1,18000,18000,-0.100342,0,1.50E-02,19.3994,0,8.48523,238.173,0,19.7335,-10.3262,0,1.17115,5.4363,0,0.45042,0.331877,0,2.70E-02,-9999,-9999,-9999,-0.946302,-3.69551,1.79E-02,-8.44E-02,1.26E-03,-9999,2.36E-11,1.40E-12,1.24E-13,-9999,15.8629,390,400.577,0,1,945.159,23.2373,23.7901,0,1,8.33E-02,2.09916,2.15609,-0.1,0,-9999,-9999,-9999,-9999,9,311.264,302.207,102196,1.16776,1018.63,2.46E-02,0.352273,1.70E-02,2375.39,4007.44,1.46E-02,59.2746,1632.05,293.417,-1.24345,2.42034,-1.10E-02,2.72109,3.75E-14,1.49E-15,2.72109,7.1063,165.589,117.192,-0.231937,-9999,0.293133,1.00416,-115.327,-3.64E-02,8.15E-02,5.56E-02,0,31.6986,-4.81039,10.8811,27.0955,41.3223,57.9552,86.8274,-9.94E-02,1.00953,33.6321,1.01472,214.465,1.07431,-12.3826,1.07431,4.89517,1.07431,0.274632,1.09979,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,8,8,0,8,3,1,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.08277,0.729364,0.196192,0.200428,7.40E-03,1189.72,4.07E-06,-9999,2.83E-02,-1.24E-02,4.89517,2.75E-04,-9999,301.842,101982,4.33E-04,6.96E-03,-5.04E-03,4.94E-04,390.32,26.4272,22.2502,103.924,2.07815,80.7388,1.17E-04,0,6.00E-05,0,9999.99,9999.99,9999.99
2022-06-29T150000_AIU-1200.ghg,2022/06/29,15:30:00,180.646,1,18000,18000,-0.130587,0,1.97E-02,-1.06332,1,6.59419,242.286,0,21.9565,-11.6894,0,1.23927,5.53058,0,0.501195,0.393291,0,3.03E-02,-9999,-9999,-9999,0.316796,-0.284554,-3.23E-02,-6.50E-03,-1.12E-03,-9999,-7.18E-11,-4.27E-12,-3.76E-13,-9999,15.8478,389.777,400.301,0,1,942.978,23.1926,23.7432,0,1,8.30E-02,2.09146,2.14793,-0.1,0,-9999,-9999,-9999,-9999,9,311.403,302.28,102182,1.16733,1018.62,2.46E-02,0.358382,1.70E-02,2370.49,4024.48,1.46E-02,58.9017,1653.99,293.384,-1.15334,2.28709,-1.57E-02,2.56149,2.83E-14,-4.53E-15,2.56149,6.73698,163.844,116.761,-0.350349,-9999,0.334465,0.999109,3125.14,1.34E-03,-4.39E-03,-2.67E-03,0,30.8609,-4.68326,10.5935,26.3794,40.2303,56.4236,84.5328,-0.129337,1.00966,13.7367,1.01446,220.654,1.07312,-12.8584,1.07312,5.03681,1.07312,0.334944,1.09884,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,4,5,2,10,7,11,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.0511,0.674048,0.273072,0.149431,5.60E-03,929.677,3.07E-06,-9999,1.16E-02,-1.29E-02,5.03681,3.35E-04,-9999,301.998,101967,4.36E-04,6.95E-03,-5.03E-03,4.97E-04,390.206,26.3185,22.1825,103.914,2.07053,80.6262,1.13E-04,0,5.61E-05,0,9999.99,9999.99,9999.99
2022-06-29T153000_AIU-1200.ghg,2022/06/29,16:00:00,180.667,1,18000,18000,-0.146788,0,2.20E-02,36.7574,0,7.29541,347.298,0,31.2622,-15.0517,0,1.72173,7.93169,0,0.713975,0.453978,0,3.55E-02,-9999,-9999,-9999,2.2452,0.658558,6.15E-02,1.50E-02,-6.55E-05,-9999,5.98E-11,3.57E-12,3.13E-13,-9999,15.8358,390.202,400.704,0,1,945.447,23.2963,23.852,0,1,8.28E-02,2.09101,2.14729,-0.1,0,-9999,-9999,-9999,-9999,9,311.781,302.802,102169,1.16513,1018.68,2.46E-02,0.513974,1.70E-02,2380.8,4147.27,1.46E-02,57.4063,1766.48,293.454,-1.41601,2.52123,1.63E-02,2.8917,-1.91E-15,3.78E-15,2.8917,7.31609,163.51,119.32,0.322344,-9999,0.354943,1.28864,-108.04,-3.89E-02,0.105838,8.73E-02,0,31.3232,-4.75341,10.7522,26.7746,40.8329,57.2687,85.799,-0.145417,1.00943,57.4003,1.01504,311.414,1.07565,-18.3767,1.07565,7.11216,1.07565,0.371116,1.10087,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,3,3,2,10,5,4,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.42936,0.851528,0.29638,0.13588,8.26E-03,1358.06,3.35E-06,-9999,4.84E-02,-1.84E-02,7.11216,3.71E-04,-9999,302.563,101956,4.37E-04,6.96E-03,-5.04E-03,4.95E-04,390.685,26.243,22.1298,103.89,2.07004,80.3992,1.25E-04,0,6.86E-05,0,9999.99,9999.99,9999.99
2022-06-29T160000_AIU-1200.ghg,2022/06/29,16:30:00,180.687,1,18000,18000,-9.29E-02,1,1.82E-02,3.45668,1,6.65641,208.882,0,19.5438,-9.38866,0,1.21816,4.76855,0,0.446164,0.395935,0,4.23E-02,-9999,-9999,-9999,-1.81701,-0.320952,-0.177556,-7.33E-03,1.74E-03,-9999,9.91E-11,5.92E-12,5.23E-13,-9999,15.8084,388.978,399.549,0,1,944.732,23.2459,23.7991,0,1,8.34E-02,2.10301,2.16016,-0.1,0,-9999,-9999,-9999,-9999,9,311.503,302.38,102171,1.1668,1018.65,2.46E-02,0.309002,1.70E-02,2375.68,4047.79,1.46E-02,58.6909,1672.1,293.419,-0.814692,1.87842,-7.19E-03,2.0475,8.59E-14,6.27E-15,2.0475,6.61971,171.558,113.447,-0.201268,-9999,0.282218,1.29634,-577.498,-7.27E-03,1.65E-02,1.03E-02,0,28.783,-4.36793,9.88026,24.6032,37.5215,52.6244,78.841,-9.20E-02,1.01046,16.2021,1.01388,190.351,1.06975,-10.6529,1.06975,4.3455,1.06975,0.338758,1.09631,-9999,-9999,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,1,3,3,7,5,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,-9999,100,1.54542,0.815992,0.231252,0.184744,5.34E-03,682.082,4.74E-06,-9999,1.36E-02,-1.07E-02,4.3455,3.39E-04,-9999,302.013,101956,4.36E-04,6.97E-03,-5.05E-03,4.97E-04,389.297,26.4794,22.2813,103.927,2.08195,80.1693,1.22E-04,0,6.42E-05,0,9999.99,9999.99,9999.99
