date,time,DOY,LOGGERPOWER_1_1_1,LOGGERTEMP_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SHFSENS1_1_1_1,SHFSENS2_2_1_1,SHFSENS3_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,VERSION_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[OTHER],[C],[V],[µmol/m^2/s],[m],[W/m^2],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[OTHER],[OTHER],[OTHER],[m^3/m^3],[m^3/m^3],[m^3/m^3],[K],[K],[K],[K],[OTHER]
2022-07-28,10:30,209.4374,1.00000,34.7111,13.1629,1703.51,0.00000,814.468,69.7090,650.043,-54158.9,7767.30,-23570.1,1.00000,1.00000,1.00000,0.664000,0.637000,0.597364,303.864,299.350,299.350,299.279,2.00000
2022-07-28,11:00,209.4582,1.00000,35.9276,13.1315,1732.54,0.00000,830.134,67.3424,663.483,-54427.3,29279.5,-18295.3,1.00000,1.00000,1.00000,0.664000,0.636942,0.595264,304.472,299.346,299.350,299.349,2.00000
2022-07-28,11:30,209.4790,1.00000,37.0300,13.1180,1836.02,0.00000,885.750,63.0595,696.364,-55210.2,-3299.23,-22288.1,1.00000,1.00000,1.00000,0.664000,0.636942,0.595583,305.161,299.352,299.378,299.479,2.00000
2022-07-28,12:00,209.4999,1.00000,37.5767,13.1091,1624.26,0.00000,783.133,60.4860,619.927,-52502.5,26223.9,10037.3,1.00000,1.00000,1.00000,0.663811,0.636458,0.596000,305.339,299.484,299.550,299.657,2.00000
2022-07-28,12:30,209.5207,1.00000,38.0567,13.1173,1939.66,0.00000,938.372,59.9306,753.633,-40908.5,-3452.65,-8109.32,1.00000,1.00000,1.00000,0.662705,0.636328,0.596000,305.864,299.550,299.550,299.912,2.00000
2022-07-28,13:00,209.5415,1.00000,38.9333,13.1074,1725.91,0.00000,829.247,59.2905,666.318,-55693.6,-10622.3,-20543.2,1.00000,1.00000,1.00000,0.662314,0.634167,0.594758,306.090,299.550,299.629,300.139,2.00000
2022-07-28,13:30,209.5624,1.00000,39.6600,13.0969,1814.93,0.00000,882.597,59.4969,705.874,-52058.6,-11664.6,-18329.5,1.00000,1.00000,1.00000,0.661328,0.633139,0.594444,306.436,299.550,299.850,300.513,2.00000
2022-07-28,14:00,209.5832,1.00000,40.7733,13.0921,1734.25,0.00000,843.388,57.6447,673.450,-45553.8,-9730.08,-8500.41,1.00000,1.00000,1.00000,0.661011,0.633747,0.594422,306.652,299.552,299.938,300.854,2.00000
2022-07-28,14:30,209.6040,1.00000,41.1200,13.1305,1401.66,0.00000,671.846,53.6254,529.462,-56597.6,184.829,-11121.3,1.00000,1.00000,1.00000,0.661000,0.634658,0.592617,306.499,299.665,300.050,301.231,2.00000
2022-07-28,15:00,209.6249,1.00000,40.9400,13.1620,888.366,0.00000,422.401,56.9248,338.275,-47182.1,12871.0,3155.02,1.00000,1.00000,1.00000,0.660283,0.635633,0.591878,306.100,299.848,300.285,301.618,2.00000
2022-07-28,15:30,209.6457,1.00000,40.3900,13.1899,1142.86,0.00000,552.643,54.0464,433.513,-34463.8,2572.98,3193.87,1.00000,1.00000,1.00000,0.659200,0.634947,0.591572,306.264,299.850,300.350,301.940,2.00000
2022-07-28,16:00,209.6665,1.00000,40.2400,13.1799,913.636,0.00000,472.507,55.0404,355.490,-45421.0,2745.44,-3170.01,1.00000,1.00000,1.00000,0.659011,0.634156,0.589403,306.127,299.850,300.616,302.103,2.00000
2022-07-28,16:30,209.6873,1.00000,40.6733,13.1339,1025.77,0.00000,488.896,53.6153,357.766,-39541.1,6499.29,-5598.46,1.00000,1.00000,1.00000,0.659000,0.634286,0.589000,306.457,299.850,300.650,302.350,2.00000
2022-07-28,17:00,209.7082,1.00000,41.0400,13.1291,869.902,0.00000,418.073,52.7892,288.966,-54511.2,7848.60,-15758.2,1.00000,1.00000,1.00000,0.659000,0.634650,0.589056,306.528,299.856,300.650,302.350,2.00000
2022-07-28,17:30,209.7290,1.00000,41.1900,13.0884,645.552,0.00000,307.030,53.4369,193.892,-39782.6,6722.55,-3473.86,1.00000,1.00000,1.00000,0.659000,0.634083,0.589139,306.328,299.886,300.676,302.350,2.00000
2022-07-28,18:00,209.7498,1.00000,40.6767,12.7194,409.911,0.00000,196.459,53.9998,101.957,-32140.4,19927.0,-3480.31,1.00000,1.00000,1.00000,0.658978,0.637000,0.589117,305.921,299.861,300.775,302.350,2.00000
2022-07-28,18:30,209.7707,1.00000,39.2167,12.5282,199.578,0.00000,97.6182,55.9430,27.5980,-21181.2,10604.9,-6436.25,1.00000,1.00000,1.00000,0.658753,0.636994,0.589145,305.210,299.850,300.867,302.350,2.00000
2022-07-28,19:00,209.7915,1.00000,37.4400,12.4806,98.3225,0.00000,49.9384,67.1122,3.55406,-25628.0,23863.3,-2149.64,1.00000,1.00000,1.00000,0.657889,0.636961,0.589019,303.489,299.850,300.927,302.350,2.00000
2022-07-28,19:30,209.8123,1.00000,34.7133,12.4272,21.3713,0.00000,11.5229,79.5468,-25.6355,-46204.2,10528.8,6744.13,1.00000,1.00000,1.00000,0.657144,0.636633,0.589011,301.242,299.850,300.899,302.349,2.00000
2022-07-28,20:00,209.8332,1.00000,32.0533,12.3834,0.458374,0.00000,0.244929,83.3533,-33.9524,1638.10,30390.9,44910.5,1.00000,1.00000,1.00000,0.657250,0.636794,0.589003,300.190,299.850,300.759,302.154,2.00000
2022-07-28,20:30,209.8540,1.00000,30.0300,12.3557,0.741877E-01,0.00000,0.324366E-01,90.9907,-30.9969,-25054.4,20855.9,22786.3,1.00000,1.00000,1.00000,0.657050,0.636711,0.589000,299.505,299.850,300.652,302.050,2.00000
2022-07-28,21:00,209.8748,1.00000,28.5500,12.3277,0.662390E-01,0.00000,0.258168E-01,98.5500,-31.7518,-19932.5,22431.0,14263.5,1.00000,1.00000,1.00000,0.656944,0.636275,0.588092,298.997,299.850,300.650,301.967,2.00000
2022-07-28,21:30,209.8956,1.00000,27.5300,12.3087,0.172221E-01,0.00000,0.185352E-01,99.9859,-32.3420,-26172.1,40934.8,26706.7,1.00000,1.00000,1.00000,0.656983,0.635986,0.588000,298.627,299.850,300.650,301.750,2.00000
2022-07-28,22:00,209.9165,1.00000,26.8200,12.2888,0.543160E-01,0.00000,0.264788E-01,99.9866,-33.8629,-18008.1,21637.3,30762.9,1.00000,1.00000,1.00000,0.657000,0.636000,0.588000,298.428,299.850,300.650,301.692,2.00000
2022-07-28,22:30,209.9373,1.00000,26.2933,12.2655,0.450425E-01,0.00000,0.105915E-01,98.8500,-33.3761,-30946.8,26007.1,30067.0,1.00000,1.00000,1.00000,0.656972,0.636000,0.588011,298.489,299.847,300.483,301.450,2.00000
2022-07-28,23:00,209.9581,1.00000,26.1900,12.2485,0.132477E-02,0.00000,-0.218450E-01,87.9263,-39.2738,-35793.4,45305.2,28855.6,1.00000,1.00000,1.00000,0.656983,0.636000,0.588669,300.245,299.693,300.350,301.319,2.00000
2022-07-28,23:30,209.9790,1.00000,26.5533,12.2353,0.132477E-02,0.00000,-0.198591E-02,92.6028,-38.8955,-23780.2,35251.6,24278.9,1.00000,1.00000,1.00000,0.656989,0.635989,0.589600,300.054,299.557,300.350,301.150,2.00000
2022-07-29,00:00,210.0000,1.00000,26.5667,12.2219,0.344443E-01,0.00000,0.205211E-01,99.9139,-37.2561,-33897.0,21796.5,-2574.70,1.00000,1.00000,1.00000,0.656878,0.635978,0.590883,299.259,299.550,300.297,301.131,2.00000
2022-07-29,00:30,210.0208,1.00000,26.2900,12.2084,0.384186E-01,0.00000,0.231690E-01,99.9862,-36.2443,-31282.3,26681.7,15441.7,1.00000,1.00000,1.00000,0.656794,0.635950,0.591000,298.800,299.550,300.056,300.957,2.00000
2022-07-29,01:00,210.0416,1.00000,25.8900,12.1920,-0.264954E-02,0.00000,0.661970E-02,99.9847,-33.6148,-37008.0,49077.4,29845.2,1.00000,1.00000,1.00000,0.656956,0.635883,0.590736,298.057,299.550,300.050,300.946,2.00000
2022-07-29,01:30,210.0624,1.00000,25.5200,12.1737,0.251708E-01,0.00000,0.145633E-01,99.9821,-31.0041,-24475.6,42793.5,30820.9,1.00000,1.00000,1.00000,0.657003,0.634864,0.590000,297.596,299.550,300.050,300.687,2.00000
2022-07-29,02:00,210.0833,1.00000,25.2300,12.1620,0.397434E-01,0.00000,0.595774E-02,99.9812,-24.4834,-27954.7,27983.6,30944.8,1.00000,1.00000,1.00000,0.657000,0.634650,0.590011,297.475,299.550,300.044,300.650,2.00000
2022-07-29,02:30,210.1041,1.00000,25.3900,12.1505,0.331195E-01,0.00000,-0.284647E-01,99.9871,-27.8929,-31008.2,15622.4,-3102.32,1.00000,1.00000,1.00000,0.657000,0.634233,0.590117,298.829,299.550,299.882,300.567,2.00000
2022-07-29,03:00,210.1249,1.00000,25.9100,12.1408,0.317947E-01,0.00000,-0.529576E-02,99.9906,-32.9583,-29265.7,35675.4,554.400,1.00000,1.00000,1.00000,0.656994,0.633528,0.590856,298.945,299.548,299.850,300.350,2.00000
2022-07-29,03:30,210.1458,1.00000,26.0900,12.1237,0.238460E-01,0.00000,0.211830E-01,99.9874,-27.9107,-14764.9,27960.8,29828.6,1.00000,1.00000,1.00000,0.656550,0.633278,0.590997,298.212,299.486,299.850,300.348,2.00000
2022-07-29,04:00,210.1666,1.00000,25.8800,12.1131,-0.119230E-01,0.00000,0.158873E-01,99.9847,-26.1217,-13873.7,34556.8,22351.4,1.00000,1.00000,1.00000,0.656075,0.633150,0.591011,297.730,299.426,299.850,300.187,2.00000
2022-07-29,04:30,210.1874,1.00000,25.7300,12.0881,0.476921E-01,0.00000,0.105915E-01,99.9842,-23.7536,-34056.0,23708.9,-12812.7,1.00000,1.00000,1.00000,0.655903,0.633039,0.591389,297.483,299.356,299.777,300.050,2.00000
2022-07-29,05:00,210.2083,1.00000,25.5100,12.0730,0.238460,0.00000,0.728168E-01,99.9810,-27.6921,-37666.3,36873.6,-1006.75,1.00000,1.00000,1.00000,0.655931,0.633072,0.592661,297.339,299.350,299.565,300.050,2.00000
2022-07-29,05:30,210.2291,1.00000,25.3100,12.0601,9.68150,0.00000,3.52963,99.9815,-13.5782,-21465.5,26392.0,-695.984,1.00000,1.00000,1.00000,0.655775,0.633481,0.592878,297.218,299.350,299.550,300.049,2.00000
2022-07-29,06:00,210.2499,1.00000,25.2100,12.0610,65.7488,0.00000,26.6854,99.9823,-6.77323,-28982.2,42065.9,1203.63,1.00000,1.00000,1.00000,0.655106,0.634319,0.592656,297.201,299.350,299.550,299.892,2.00000
2022-07-29,06:30,210.2707,1.00000,25.5300,12.0934,161.083,0.00000,65.7006,99.9861,23.9366,-21779.9,28643.6,17175.9,1.00000,1.00000,1.00000,0.654467,0.634989,0.592022,297.895,299.350,299.550,299.850,2.00000
2022-07-29,07:00,210.2916,1.00000,26.2800,12.1333,224.664,0.00000,97.2495,99.9920,53.6335,-16904.8,25072.7,14630.4,1.00000,1.00000,1.00000,0.654200,0.635758,0.591642,299.130,299.350,299.550,299.850,2.00000
2022-07-29,07:30,210.3124,1.00000,27.2000,12.1778,277.369,0.00000,117.395,98.0952,73.9121,-26999.5,36456.2,21817.2,1.00000,1.00000,1.00000,0.654061,0.636803,0.591831,299.726,299.350,299.540,299.850,2.00000
2022-07-29,08:00,210.3332,1.00000,28.2200,12.2930,551.585,0.00000,258.658,92.9514,212.904,-14586.6,39007.8,15735.7,1.00000,1.00000,1.00000,0.655656,0.636964,0.592083,300.154,299.350,299.522,299.850,2.00000
2022-07-29,08:30,210.3541,1.00000,29.5833,12.4641,536.640,0.00000,247.100,91.0981,186.795,-39007.2,19112.0,-4241.80,1.00000,1.00000,1.00000,0.656000,0.636961,0.592075,300.577,299.350,299.524,299.850,2.00000
2022-07-29,09:00,210.3749,1.00000,30.9600,12.8070,929.031,0.00000,436.759,85.6092,329.950,-30014.2,31097.5,17743.6,1.00000,1.00000,1.00000,0.655989,0.636922,0.592172,301.511,299.350,299.550,299.850,2.00000
2022-07-29,09:30,210.3957,1.00000,32.9200,13.0653,1024.62,0.00000,478.783,80.7278,368.317,-38117.6,18997.2,1860.03,1.00000,1.00000,1.00000,0.655817,0.636594,0.592333,302.185,299.350,299.550,299.850,2.00000
2022-07-29,10:00,210.4165,1.00000,34.1700,13.2219,1298.91,0.00000,610.008,79.7531,477.466,-46226.5,19038.8,2091.56,1.00000,1.00000,1.00000,0.655717,0.635575,0.592342,302.165,299.351,299.550,299.853,2.00000
2022-07-29,10:30,210.4374,1.00000,34.8233,13.1911,1385.76,0.00000,650.858,73.4631,516.873,-56855.1,10147.2,8034.04,1.00000,1.00000,1.00000,0.655658,0.634033,0.592650,302.987,299.350,299.550,300.035,2.00000
2022-07-29,11:00,210.4582,1.00000,35.8367,13.1570,1707.23,0.00000,820.169,71.5089,655.241,-42973.2,11930.6,2208.92,1.00000,1.00000,1.00000,0.655317,0.633267,0.592478,303.870,299.363,299.552,300.050,2.00000
2022-07-29,11:30,210.4790,1.00000,36.9300,13.1408,1419.47,0.00000,673.574,70.0037,548.931,-42887.3,-8620.20,-17075.8,1.00000,1.00000,1.00000,0.655097,0.633133,0.591142,304.369,299.476,299.763,300.271,2.00000
2022-07-29,12:00,210.4999,1.00000,37.1300,13.1161,1555.54,0.00000,745.599,69.7060,595.202,-39418.3,22284.9,2052.38,1.00000,1.00000,1.00000,0.655017,0.633228,0.590797,304.572,299.549,299.850,300.503,2.00000
2022-07-29,12:30,210.5207,1.00000,37.9167,13.1309,1942.75,0.00000,935.240,64.8837,749.525,-34689.6,13713.4,-6269.84,1.00000,1.00000,1.00000,0.655028,0.633928,0.590003,305.369,299.550,299.926,300.697,2.00000
2022-07-29,13:00,210.5415,1.00000,38.5400,13.1731,1079.87,0.00000,525.244,67.8066,415.676,-42216.8,-5090.76,-17314.7,1.00000,1.00000,1.00000,0.655019,0.634708,0.589689,305.112,299.550,300.050,301.017,2.00000
2022-07-29,13:30,210.5624,1.00000,38.6300,13.1733,1657.66,0.00000,802.195,65.2819,636.887,-39886.1,26643.2,-3698.31,1.00000,1.00000,1.00000,0.655036,0.634628,0.587839,305.687,299.550,300.240,301.235,2.00000
2022-07-29,14:00,210.5832,1.00000,38.6033,13.0882,798.173,0.110000E-02,380.046,71.3564,174.969,-36773.7,14546.5,-5109.91,1.00000,1.00000,1.00000,0.655053,0.633933,0.588000,304.173,299.550,300.394,301.577,2.00000
2022-07-29,14:30,210.6040,1.00000,35.2000,13.1463,754.844,0.00000,362.008,85.0439,281.497,-27412.9,16544.8,-1377.03,1.00000,1.00000,1.00000,0.655267,0.634033,0.586989,301.624,299.575,300.650,301.873,2.00000
2022-07-29,15:00,210.6249,1.00000,32.8267,12.5831,117.197,0.113000E-01,49.1334,98.1653,-9.07513,-34833.8,24211.4,12397.5,1.00000,1.00000,1.00000,0.655361,0.634322,0.586064,299.573,299.657,300.650,302.050,2.00000
2022-07-29,15:30,210.6457,1.00000,29.8900,12.6198,260.529,0.960000E-02,116.663,99.9826,55.9026,-38111.9,17854.0,25089.9,1.00000,1.00000,1.00000,0.655395,0.635200,0.587122,298.253,299.837,300.707,302.062,2.00000
2022-07-29,16:00,210.6665,1.00000,28.5100,12.9819,339.700,0.500000E-03,150.076,99.9860,76.4955,-50771.0,18981.9,6017.82,1.00000,1.00000,1.00000,0.655183,0.634861,0.586917,298.557,299.777,300.855,302.052,2.00000
2022-07-29,16:30,210.6873,1.00000,28.0133,12.5003,97.7621,0.360000E-02,40.2458,99.9866,3.54738,-42810.9,25442.7,9277.79,1.00000,1.00000,1.00000,0.656000,0.635120,0.587000,298.476,300.050,300.677,302.050,2.00000
2022-07-29,17:00,210.7082,1.00000,28.1367,13.1403,648.266,0.100000E-03,327.265,99.9906,213.682,-47253.8,194.098,-16373.2,1.00000,1.00000,1.00000,0.656000,0.634858,0.586947,299.075,300.050,300.652,301.837,2.00000
2022-07-29,17:30,210.7290,1.00000,28.9600,12.5535,172.453,0.00000,84.8758,99.9911,56.1980,-49578.6,-13137.1,-31885.6,1.00000,1.00000,1.00000,0.656056,0.635081,0.586508,299.259,300.050,300.650,301.750,2.00000
2022-07-29,18:00,210.7498,1.00000,29.0600,12.6108,259.323,0.00000,129.531,99.9905,41.5623,-30109.7,15381.3,8072.62,1.00000,1.00000,1.00000,0.656033,0.634753,0.587425,299.151,300.296,300.650,301.580,2.00000
2022-07-29,18:30,210.7707,1.00000,29.0800,12.5967,261.620,0.00000,138.928,99.9914,52.3852,-33920.1,21053.1,-16286.5,1.00000,1.00000,1.00000,0.656536,0.633967,0.587978,299.200,300.575,300.650,301.450,2.00000
2022-07-29,19:00,210.7915,1.00000,29.3400,12.4906,118.164,0.00000,58.9670,99.9915,12.7365,-48531.8,16472.6,-1822.03,1.00000,1.00000,1.00000,0.657000,0.633989,0.588000,299.117,300.650,300.526,301.287,2.00000
2022-07-29,19:30,210.8123,1.00000,28.6800,12.3823,15.8563,0.00000,8.59370,99.9901,-27.7816,-48107.2,34913.6,20078.0,1.00000,1.00000,1.00000,0.657031,0.634000,0.587381,298.807,300.650,300.350,301.150,2.00000
