"Year","DoY","Date","Time","Hour","Daytime","NEE","FCH4","FH2O","LE","H","ET","Rg","Rn","Rainfall","PPFD","Tair","Tsoil_rep1","Tsoil_rep2","Tsoil_rep3","rH","VPD","SWC_rep1","SWC_rep2","SWC_rep3","Ustar","Wind_dir"
"-","-","-","-","-","-","umol_m-2_s-1","umol_m-2_s-1","mmol_m-2_s-1","Wm-2","Wm-2","mm_h-1","Wm-2","Wm-2","m","umol_m-2_s-1","degC","degC","degC","degC","%","hPa","m3m-3","m3m-3","m3m-3","ms-1","ms-1"
"2022","157.7082","2022-06-06","17:00","17","1","-7.0053","0.441842","7.66831","336.549","25.6648","0.496906","452.225","279.175","0","918.907","26.006","21.9","23","23.61","33.2469","22.4349156888893","0.643","0.647522","0.582","0.328006","160.774"
"2022","157.729","2022-06-06","17:30","17.5","1","-4.51295","0.459544","6.32712","277.8","5.97134","0.409997","351.576","190.434","0","714.393","25.697","21.966","23.074","23.701","35.9006","21.1522828324584","0.643025","0.646311","0.581994","0.288669","157.245"
"2022","157.7498","2022-06-06","18:00","18","1","-5.05141","0.368712","2.87772","126.397","5.51661","0.186476","256.275","109.98","0","514.607","25.172","22.098","23.281","23.847","39.9106","19.2199393456119","0.6439","0.646267","0.581489","0.19772","162.962"
"2022","157.7707","2022-06-06","18:30","18.5","1","1.87763","0.350799","2.24597","98.7264","-26.5215","0.145539","156.478","32.935","0","304.597","24.299","22.1","23.296","23.9","45.7628","16.4665414768437","0.643822","0.646753","0.581011","0.221907","153.499"
"2022","157.7915","2022-06-07","19:00","19","1","0.712022","0.321438","1.2698","55.9342","-23.3797","0.0823","33.9823","-45.9163","0","84.5355","23.119","22.1","23.297","23.9","51.7895","13.6331116536508","0.644","0.646994","0.581","0.202753","155.707"
"2022","157.8123","2022-06-07","19:30","19.5","1","12.2629","0.391614","1.85867","81.9543","-67.2476","0.120442","8.65461","-65.4761","0","22.9955","22.309","22.1","23.291","23.9","55.8453","11.887548636753","0.643994","0.646981","0.581053","0.262829","151.893"
"2022","157.8332","2022-06-07","20:00","20","0","5.91489","0.230741","0.16575","7.31543","-22.2264","0.0107","0.456098","-72.35","0","1.29166","21.433","22.287","23.288","23.866","60.3418","10.1210007265406","0.643978","0.646942","0.581964","0.207915","120.603"
"2022","157.854","2022-06-07","20:30","20.5","0","1.50102","0.0355","0.0597","2.63737","-5.98555","0.00387","0.0357","-70.4782","0","0.0331","20.502","22.406","23.277","23.703","64.903","8.45876140887991","0.643689","0.647011","0.582","0.0986","66.1335"
"2022","157.8748","2022-06-07","21:00","21","0","-9999","-0.00402","-0.00642","-0.283982","-0.622537","-0.000416","0.0225","-68.7621","0","0.0464","19.593","22.599","23.294","23.7","69.5115","6.94600520741423","0.642306","0.647","0.582","0.0676","42.0445"
